,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Freetown-Lakeville - Apponequet Regional High,6650505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,183.0,196.0,188.0,0.0,775.0, 06650505,1.2,1.7,1.9,93.3,0.1,0.1,1.7,51.1,48.9,200.0,173.0,86.5,0.6,26.0,28.3,45.1,26.6,16.8,21.4,SCIENCE AND TECH/ENG,155.0,86.0,76.0,42.0,79.0,44.0,26.0,14.0,0.0,0.0,181.0,95.2,,,211.0,558.0,,561.0,     743,33.0,1.1,4.0,0.0,0.0,0.0,,6650505.0,7.0,0.9,0.0,0.0,104.0,13.4,167.0,21.5,98.0,12.6,Freetown-Lakeville,Apponequet Regional High
Freetown-Lakeville - Assawompset Elementary School,6650002.0,0.0,103.0,106.0,123.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0, 06650002,2.5,0.7,0.9,92.9,0.0,0.0,3.0,53.7,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     429,4.0,,,,,,,6650002.0,4.0,0.9,3.0,0.7,35.0,8.1,108.0,24.9,82.0,18.9,Freetown-Lakeville,Assawompset Elementary School
Freetown-Lakeville - Freetown Elementary School,6650001.0,48.0,105.0,77.0,94.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0, 06650001,1.0,0.2,1.5,96.4,0.0,0.0,1.0,50.7,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     417,1.0,,,,,,,6650001.0,5.0,1.2,4.0,1.0,63.0,15.3,139.0,33.7,93.0,22.6,Freetown-Lakeville,Freetown Elementary School
Freetown-Lakeville - Freetown-Lakeville Middle School,6650305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,251.0,237.0,0.0,0.0,0.0,0.0,0.0,752.0, 06650305,0.8,0.5,2.5,94.1,0.3,0.1,1.6,48.9,51.1,,,,,,,,,,,SCIENCE AND TECH/ENG,116.0,46.0,4.0,2.0,112.0,44.0,116.0,46.0,20.0,8.0,252.0,78.6,,,,,,,     745,21.0,1.9,1.3,0.0,0.0,0.0,,6650305.0,8.0,1.1,2.0,0.3,122.0,16.2,224.0,29.8,131.0,17.4,Freetown-Lakeville,Freetown-Lakeville Middle School
Freetown-Lakeville - George R Austin Intermediate School,6650015.0,0.0,0.0,0.0,0.0,0.0,212.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0, 06650015,1.8,1.1,0.5,94.5,0.2,0.0,1.8,49.1,50.9,,,,,,,,,,,SCIENCE AND TECH/ENG,135.0,54.0,50.0,20.0,85.0,34.0,90.0,36.0,25.0,10.0,250.0,81.4,,,,,,,     480,1.0,,,,,,,6650015.0,8.0,1.8,7.0,1.6,65.0,14.8,132.0,30.0,85.0,19.3,Freetown-Lakeville,George R Austin Intermediate School
