,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Hampden-Wilbraham - Green Meadows Elementary,6800005.0,14.0,32.0,41.0,35.0,47.0,41.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0, 06800005,1.2,1.2,6.0,88.0,0.0,0.0,3.6,48.8,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     260,1.0,,,,,,,6800005.0,4.0,1.6,2.0,0.8,52.0,20.8,79.0,31.6,50.0,20.0,Hampden-Wilbraham,Green Meadows Elementary
Hampden-Wilbraham - Mile Tree Elementary,6800025.0,59.0,140.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0, 06800025,2.0,2.3,4.6,87.3,0.0,0.6,3.2,48.4,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     330,4.0,,,,,,,6800025.0,11.0,3.2,10.0,2.9,51.0,14.7,84.0,24.2,44.0,12.7,Hampden-Wilbraham,Mile Tree Elementary
Hampden-Wilbraham - Minnechaug Regional High,6800505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,271.0,300.0,276.0,1.0,1109.0, 06800505,2.4,3.4,5.2,85.7,0.2,0.2,2.9,48.9,51.1,306.0,265.0,86.6,0.0,36.2,26.8,37.0,23.4,13.2,11.3,SCIENCE AND TECH/ENG,214.0,74.0,52.0,18.0,162.0,56.0,71.0,25.0,3.0,1.0,288.0,90.8,,,333.0,569.0,,572.0,"   1,157",78.0,5.4,2.9,0.1,0.0,0.0,,6800505.0,20.0,1.8,1.0,0.1,148.0,13.3,257.0,23.2,147.0,13.3,Hampden-Wilbraham,Minnechaug Regional High
Hampden-Wilbraham - Soule Road,6800030.0,0.0,0.0,0.0,0.0,0.0,167.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0, 06800030,4.4,1.5,7.0,84.3,0.0,0.0,2.9,49.4,50.6,,,,,,,,,,,SCIENCE AND TECH/ENG,103.0,60.0,38.0,22.0,65.0,38.0,65.0,38.0,4.0,2.0,172.0,85.3,,,,,,,     347,0.0,,,,,,,6800030.0,14.0,4.1,6.0,1.7,39.0,11.3,90.0,26.2,63.0,18.3,Hampden-Wilbraham,Soule Road
Hampden-Wilbraham - Stony Hill School,6800050.0,0.0,0.0,0.0,142.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0, 06800050,1.7,1.7,8.8,82.8,0.0,0.0,5.1,54.9,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     317,0.0,,,,,,,6800050.0,12.0,4.0,7.0,2.4,41.0,13.8,83.0,27.9,48.0,16.2,Hampden-Wilbraham,Stony Hill School
Hampden-Wilbraham - Thornton Burgess,6800305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,34.0,43.0,0.0,0.0,0.0,0.0,0.0,105.0, 06800305,3.8,1.9,8.6,81.0,1.9,0.0,2.9,52.4,47.6,,,,,,,,,,,SCIENCE AND TECH/ENG,48.0,43.0,8.0,7.0,40.0,36.0,49.0,44.0,15.0,13.0,112.0,75.4,,,,,,,     228,17.0,0.0,7.5,0.0,0.0,0.0,,6800305.0,3.0,2.9,0.0,0.0,28.0,26.7,43.0,41.0,27.0,25.7,Hampden-Wilbraham,Thornton Burgess
Hampden-Wilbraham - Wilbraham Middle,6800310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,195.0,219.0,0.0,0.0,0.0,0.0,0.0,608.0, 06800310,2.5,2.8,5.3,86.8,0.3,0.0,2.3,49.0,51.0,,,,,,,,,,,SCIENCE AND TECH/ENG,85.0,56.0,9.0,6.0,76.0,50.0,54.0,36.0,13.0,9.0,152.0,80.4,,,,,,,     545,26.0,2.2,3.3,0.0,0.0,0.0,,6800310.0,20.0,3.3,1.0,0.2,74.0,12.2,136.0,22.4,86.0,14.1,Hampden-Wilbraham,Wilbraham Middle
