,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Hopkinton - Center,1390005.0,0.0,202.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0, 01390005,0.4,19.2,2.2,75.3,0.2,0.0,2.6,50.2,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     462,0.0,,,,,,,1390005.0,56.0,12.2,54.0,11.8,45.0,9.8,108.0,23.6,22.0,4.8,Hopkinton,Center
Hopkinton - Elmwood,1390010.0,0.0,0.0,0.0,238.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0, 01390010,0.8,17.4,2.6,74.1,0.4,0.2,4.6,52.1,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     500,1.0,,,,,,,1390010.0,44.0,8.8,34.0,6.8,49.0,9.8,101.0,20.2,18.0,3.6,Hopkinton,Elmwood
Hopkinton - Hopkins Elementary School,1390015.0,0.0,0.0,0.0,0.0,0.0,262.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0, 01390015,0.7,15.9,3.3,75.6,0.2,0.0,4.3,51.7,48.3,,,,,,,,,,,SCIENCE AND TECH/ENG,155.0,70.0,67.0,30.0,88.0,40.0,57.0,26.0,9.0,4.0,221.0,88.7,,,,,,,     510,2.0,,,,,,,1390015.0,33.0,6.1,11.0,2.0,50.0,9.3,90.0,16.7,27.0,5.0,Hopkinton,Hopkins Elementary School
Hopkinton - Hopkinton High,1390505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,286.0,265.0,290.0,2.0,1155.0, 01390505,0.8,10.6,2.2,85.0,0.3,0.0,1.2,50.2,49.8,288.0,259.0,89.9,0.0,41.3,6.9,51.7,5.8,7.7,19.7,SCIENCE AND TECH/ENG,238.0,97.0,180.0,73.0,58.0,24.0,5.0,2.0,3.0,1.0,246.0,98.8,,,328.0,617.0,,629.0,"   1,095",26.0,1.2,1.6,0.0,0.0,0.0,,1390505.0,43.0,3.7,11.0,1.0,144.0,12.5,186.0,16.1,50.0,4.3,Hopkinton,Hopkinton High
Hopkinton - Hopkinton Middle School,1390305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,294.0,277.0,0.0,0.0,0.0,0.0,0.0,805.0, 01390305,1.1,11.9,2.4,81.2,0.2,0.0,3.1,48.6,51.4,,,,,,,,,,,SCIENCE AND TECH/ENG,225.0,75.0,20.0,7.0,205.0,68.0,70.0,23.0,6.0,2.0,301.0,90.9,,,,,,,     875,7.0,0.3,0.6,0.0,0.0,0.0,,1390305.0,35.0,4.3,8.0,1.0,106.0,13.2,139.0,17.3,32.0,4.0,Hopkinton,Hopkinton Middle School
Hopkinton - Hopkinton Pre-School,1390003.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0, 01390003,0.0,10.2,6.8,83.1,0.0,0.0,0.0,59.3,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      75,0.0,,,,,,,1390003.0,11.0,18.6,11.0,18.6,22.0,37.3,27.0,45.8,8.0,13.6,Hopkinton,Hopkinton Pre-School
