,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Lowell - John J Shaughnessy,1600050.0,28.0,81.0,86.0,88.0,90.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0, 01600050,5.4,29.0,33.3,28.6,0.2,0.0,3.5,49.6,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     528,9.0,0.0,0.6,0.0,0.0,1.3,,1600050.0,150.0,32.5,122.0,26.4,83.0,18.0,354.0,76.6,262.0,56.7,Lowell,John J Shaughnessy
Lowell - Joseph McAvinnue,1600010.0,29.0,88.0,95.0,81.0,103.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0, 01600010,6.0,15.2,50.3,25.5,0.0,0.0,3.1,53.6,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     541,2.0,,,,,,,1600010.0,178.0,36.6,165.0,33.9,69.0,14.2,387.0,79.5,307.0,63.0,Lowell,Joseph McAvinnue
Lowell - Pawtucketville Memorial,1600036.0,31.0,84.0,99.0,94.0,102.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0, 01600036,8.0,22.3,28.2,35.8,0.0,0.0,5.7,50.9,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     549,18.0,0.0,3.3,0.0,0.0,0.2,,1600036.0,133.0,26.0,115.0,22.5,87.0,17.0,323.0,63.2,237.0,46.4,Lowell,Pawtucketville Memorial
Lowell - Washington,1600055.0,33.0,42.0,40.0,40.0,42.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0, 01600055,4.8,45.2,22.6,19.4,0.0,0.0,8.1,56.9,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     300,1.0,,,,,,,1600055.0,85.0,34.3,65.0,26.2,46.0,18.5,173.0,69.8,125.0,50.4,Lowell,Washington
Lowell - Charlotte M Murkland Elementary,1600080.0,43.0,86.0,93.0,86.0,97.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0, 01600080,5.0,45.1,31.7,12.6,0.0,0.0,5.6,54.1,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     574,8.0,0.3,1.0,0.0,0.0,0.2,,1600080.0,232.0,46.3,200.0,39.9,85.0,17.0,433.0,86.4,353.0,70.5,Lowell,Charlotte M Murkland Elementary
Lowell - S Christa McAuliffe Elementary,1600075.0,45.0,81.0,84.0,89.0,96.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0, 01600075,6.6,8.1,44.3,38.5,0.0,0.0,2.5,48.7,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     554,11.0,0.0,2.0,0.0,0.0,0.0,,1600075.0,120.0,24.8,98.0,20.3,82.0,17.0,348.0,72.0,294.0,60.9,Lowell,S Christa McAuliffe Elementary
Lowell - Bartlett Community Partnership,1600090.0,49.0,46.0,52.0,41.0,53.0,52.0,52.0,61.0,55.0,60.0,0.0,0.0,0.0,0.0,0.0,521.0, 01600090,9.4,39.7,32.8,15.0,0.2,0.0,2.9,51.1,48.9,,,,,,,,,,,SCIENCE AND TECH/ENG,13.0,11.0,1.0,1.0,12.0,10.0,31.0,27.0,72.0,62.0,116.0,48.3,,,,,,,     569,49.0,2.8,7.4,0.0,0.0,0.0,,1600090.0,168.0,32.2,133.0,25.5,118.0,22.6,414.0,79.5,317.0,60.8,Lowell,Bartlett Community Partnership
Lowell - Abraham Lincoln,1600020.0,49.0,85.0,90.0,75.0,96.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0, 01600020,5.1,50.5,29.2,11.3,0.2,0.0,3.7,56.5,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     548,22.0,1.1,3.6,0.0,0.0,0.2,,1600020.0,198.0,40.7,170.0,34.9,78.0,16.0,407.0,83.6,329.0,67.6,Lowell,Abraham Lincoln
Lowell - Charles W Morey,1600030.0,49.0,89.0,94.0,92.0,98.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0, 01600030,4.9,61.6,9.7,19.2,0.4,0.0,4.3,50.7,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     557,9.0,0.0,1.1,0.0,0.0,0.5,,1600030.0,218.0,42.3,197.0,38.3,80.0,15.5,355.0,68.9,235.0,45.6,Lowell,Charles W Morey
Lowell - Rogers STEM Academy,1600005.0,54.0,87.0,82.0,97.0,109.0,95.0,108.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0, 01600005,8.8,24.4,39.3,24.1,0.0,0.0,3.5,52.4,47.6,,,,,,,,,,,SCIENCE AND TECH/ENG,20.0,38.0,7.0,13.0,13.0,25.0,25.0,48.0,7.0,13.0,52.0,68.3,,,,,,,     660,31.0,0.3,4.7,0.0,0.0,0.0,,1600005.0,260.0,38.0,208.0,30.4,99.0,14.5,552.0,80.6,448.0,65.4,Lowell,Rogers STEM Academy
Lowell - Greenhalge,1600015.0,61.0,83.0,85.0,92.0,92.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0, 01600015,10.4,13.3,42.6,29.1,0.0,0.2,4.4,50.6,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     568,27.0,0.4,4.8,0.0,0.0,0.0,,1600015.0,175.0,34.9,155.0,30.9,84.0,16.7,436.0,86.9,377.0,75.1,Lowell,Greenhalge
