Rank,Municipality,Type,County,Per capita income,Median household income,Median family income,Population,Number of households
79,Dedham,Town,Norfolk,"$43,063","$84,704","$106,783","24,906","9,587"
80,Ipswich,Town,Essex,"$43,021","$77,087","$102,756","13,354","5,513"
81,Princeton,Town,Worcester,"$42,921","$120,607","$127,558","3,424","1,193"
82,Walpole,Town,Norfolk,"$42,869","$92,397","$109,206","24,360","8,715"
83,Foxborough,Town,Norfolk,"$42,801","$91,601","$105,818","16,990","6,451"
84,Upton,Town,Worcester,"$42,745","$105,729","$133,190","7,574","2,659"
85,Bedford,Town,Middlesex,"$42,402","$96,336","$113,810","34,199","13,303"
86,Melrose,City,Middlesex,"$42,361","$85,704","$109,452","27,239","11,436"
87,Sutton,Town,Worcester,"$42,293","$110,362","$118,092","9,021","3,097"
88,Essex,Town,Essex,"$42,259","$74,211","$100,083","3,546","1,424"
89,Mansfield,Town,Bristol,"$42,207","$93,539","$112,977","23,293","8,290"
90,Franklin,City,Norfolk,"$41,946","$99,194","$119,957","32,064","11,014"
91,Newbury,Town,Essex,"$41,891","$91,678","$111,319","6,732","2,584"
92,Rockport,Town,Essex,"$41,762","$66,402","$90,679","7,040","3,100"
93,Mendon,Town,Worcester,"$41,740","$105,389","$115,946","5,851","2,063"
94,Orleans,Town,Barnstable,"$41,573","$60,303","$76,343","5,877","2,768"
95,Hanover,Town,Plymouth,"$41,219","$99,250","$119,110","14,027","4,742"
96,Burlington,Town,Middlesex,"$41,186","$94,804","$111,882","24,875","9,216"
97,Hull,Town,Plymouth,"$41,064","$75,551","$93,776","10,319","4,679"
98,Tyngsborough,Town,Middlesex,"$40,920","$90,987","$115,476","11,675","4,142"
99,Holden,Town,Worcester,"$40,800","$95,244","$107,055","17,531","6,268"
100,Sterling,Town,Worcester,"$40,536","$98,872","$115,742","7,839","2,795"
101,Leverett,Town,Franklin,"$40,416","$73,000","$92,656","1,759",752
102,Egremont,Town,Berkshire,"$40,308","$55,388","$82,353","1,097",555
103,Groveland,Town,Essex,"$40,222","$97,463","$103,634","6,675","2,334"
104,Wakefield,Town,Middlesex,"$40,111","$84,011","$109,944","25,400","9,921"
105,Shrewsbury,Town,Worcester,"$39,920","$92,132","$107,955","35,849","13,014"
106,Grafton,Town,Worcester,"$39,887","$87,077","$109,515","17,895","6,447"
107,Tolland,Town,Hampden,"$39,806","$81,667","$86,500",551,214
108,Tewksbury,Town,Middlesex,"$39,675","$89,241","$107,070","29,429","10,907"
109,Millis,Town,Norfolk,"$39,651","$91,341","$103,173","7,950","2,946"
110,Falmouth,Town,Barnstable,"$39,545","$61,685","$78,926","31,591","14,138"
111,New Ashford,Town,Berkshire,"$39,527","$73,333","$88,750",220,100
112,Truro,Town,Barnstable,"$39,472","$57,578","$62,260","1,731",829
113,Maynard,Town,Middlesex,"$39,447","$77,622","$104,398","10,211","4,324"
114,Aquinnah,Town,Dukes,"$39,414","$76,667","$109,792",397,128
115,Plainville,Town,Norfolk,"$39,346","$77,109","$107,451","8,429","3,399"
116,Wellfleet,Town,Barnstable,"$39,276","$47,166","$69,423","3,012","1,689"
117,Middleton,Town,Essex,"$39,115","$104,245","$109,904","9,131","2,608"
118,Hopedale,Town,Worcester,"$38,747","$89,408","$108,125","5,928","2,219"
119,Wilbraham,Town,Hampden,"$38,682","$86,958","$109,873","14,301","5,377"
120,Amesbury,City,Essex,"$38,659","$78,486","$95,983","16,429","6,602"
121,Plympton,Town,Plymouth,"$38,629","$93,563","$105,109","2,834",972
122,Edgartown,Town,Dukes,"$38,588","$66,711","$81,961","4,135","1,422"
123,Stoneham,Town,Middlesex,"$38,561","$76,127","$100,959","21,498","8,855"
124,Easton,Town,Bristol,"$38,522","$93,922","$113,957","23,417","7,596"
125,Shutesbury,Town,Franklin,"$38,361","$69,722","$88,661","1,780",746
126,Stockbridge,Town,Berkshire,"$38,355","$58,750","$80,464","1,990",861
127,Rowley,Town,Essex,"$38,324","$83,237","$107,132","5,914","2,201"
128,Danvers,Town,Essex,"$38,252","$79,478","$94,055","26,899","10,147"
129,Conway,Town,Franklin,"$37,737","$77,143","$86,250","1,674",702
130,Becket,Town,Berkshire,"$37,726","$50,438","$67,153","1,868",831
131,Winthrop,City,Suffolk,"$37,720","$64,548","$85,246","17,763","7,513"
132,Beverly,City,Essex,"$37,554","$70,563","$93,238","40,026","15,704"
133,Monterey,Town,Berkshire,"$37,498","$45,417","$71,667",695,283
134,Wilmington,Town,Middlesex,"$37,424","$99,508","$108,458","22,656","7,400"
135,Rochester,Town,Plymouth,"$37,340","$87,370","$104,300","5,299","1,809"
136,Kingston,Town,Plymouth,"$37,330","$82,661","$91,902","12,673","4,563"
137,Norwood,Town,Norfolk,"$37,213","$75,957","$97,147","28,698","11,456"
138,West Stockbridge,Town,Berkshire,"$37,118","$64,038","$95,625","1,376",584
139,Rehoboth,Town,Bristol,"$36,959","$82,500","$100,179","11,664","3,988"
140,Pembroke,Town,Plymouth,"$36,916","$86,887","$99,427","17,916","6,221"
141,Montgomery,Town,Hampden,"$36,894","$83,611","$93,355",905,342
142,Waltham,City,Middlesex,"$36,864","$74,198","$86,808","61,321","23,951"
143,Sturbridge,Town,Worcester,"$36,709","$77,096","$93,799","9,306","3,647"
144,Merrimac,Town,Essex,"$36,605","$79,423","$93,615","6,440","2,458"
145,Douglas,Town,Worcester,"$36,525","$83,253","$97,459","8,519","3,230"
146,Hadley,Town,Hampshire,"$36,471","$73,250","$92,047","5,254","2,084"
147,Brimfield,Town,Hampden,"$36,406","$81,196","$112,743","3,635","1,478"
148,Braintree,City,Norfolk,"$36,351","$81,844","$97,713","36,051","13,382"
149,Eastham,Town,Barnstable,"$36,328","$58,356","$76,414","4,945","2,309"
150,East Longmeadow,Town,Hampden,"$36,171","$80,469","$96,449","15,816","5,798"
151,Bellingham,Town,Norfolk,"$36,165","$80,179","$99,157","16,438","6,181"
152,Lenox,Town,Berkshire,"$36,094","$51,089","$74,531","5,014","2,229"
153,Whately,Town,Franklin,"$36,054","$80,298","$90,729","1,366",575
154,Deerfield,Town,Franklin,"$35,998","$76,726","$88,668","5,115","2,067"
155,Mattapoisett,Town,Plymouth,"$35,941","$78,864","$93,235","6,086","2,192"
156,Gloucester,City,Essex,"$35,928","$61,449","$76,388","29,043","12,070"
157,Lunenburg,Town,Worcester,"$35,866","$76,063","$83,324","10,549","4,189"
,Massachusetts,State,,"$35,763","$66,866","$84,900","6,605,058","2,530,147"
158,Hatfield,Town,Hampshire,"$35,751","$58,839","$80,558","3,283","1,544"
159,Hampden,Town,Hampden,"$35,736","$80,582","$86,848","5,161","1,908"
160,Barnstable,City,Barnstable,"$35,723","$60,135","$73,349","44,944","19,729"
161,Williamsburg,Town,Hampshire,"$35,721","$62,683","$80,972","2,655","1,176"
162,Hudson,Town,Middlesex,"$35,713","$71,971","$88,539","19,263","7,746"
163,Lakeville,Town,Plymouth,"$35,711","$87,900","$96,882","10,798","3,683"
164,Pepperell,Town,Middlesex,"$35,689","$81,193","$94,625","11,645","4,252"
165,Charlton,Town,Worcester,"$35,678","$93,963","$105,064","13,034","4,576"
166,Salisbury,Town,Essex,"$35,656","$72,131","$84,693","8,396","3,357"
167,Washington,Town,Berkshire,"$35,641","$70,000","$71,442",478,206
168,Southwick,Town,Hampden,"$35,587","$78,476","$89,970","9,552","3,623"
169,Brewster,Town,Barnstable,"$35,564","$60,515","$78,565","9,786","4,232"
170,New Marlborough,Town,Berkshire,"$35,479","$65,278","$71,810","1,544",628
171,Medford,City,Middlesex,"$35,476","$73,497","$87,152","56,607","22,067"
172,Plymouth,Town,Plymouth,"$35,369","$76,565","$93,351","56,965","21,658"
173,East Bridgewater,Town,Plymouth,"$35,360","$85,912","$103,496","13,894","4,806"
174,Marlborough,City,Middlesex,"$35,335","$70,304","$83,756","38,842","15,730"
175,Paxton,Town,Worcester,"$35,309","$106,375","$109,855","4,824","1,503"
176,Westport,Town,Bristol,"$35,249","$78,013","$91,381","15,587","6,007"
177,Woburn,City,Middlesex,"$35,134","$74,431","$93,218","38,528","15,186"
178,North Attleborough,Town,Bristol,"$35,081","$79,289","$101,466","28,719","10,241"
179,Uxbridge,Town,Worcester,"$34,910","$84,909","$96,083","13,487","4,957"
180,Worthington,Town,Hampshire,"$34,898","$68,882","$76,094","1,149",541
