,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Hudson - C A Farley,1410030.0,13.0,87.0,88.0,86.0,77.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0, 01410030,1.5,2.6,15.4,79.0,0.0,0.0,1.5,48.6,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     512,4.0,,,,,,,1410030.0,106.0,23.0,69.0,15.0,59.0,12.8,187.0,40.6,124.0,26.9,Hudson,C A Farley
Hudson - David J. Quinn Middle School,1410410.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,210.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0, 01410410,1.5,2.2,10.5,82.3,0.0,0.0,3.5,47.5,52.5,,,,,,,,,,,SCIENCE AND TECH/ENG,85.0,38.0,21.0,9.0,64.0,29.0,106.0,47.0,33.0,15.0,224.0,72.1,,,,,,,     659,23.0,0.9,3.0,0.0,0.0,0.0,,1410410.0,122.0,18.8,40.0,6.2,132.0,20.3,260.0,40.1,146.0,22.5,Hudson,David J. Quinn Middle School
Hudson - Forest Avenue Elementary,1410015.0,0.0,82.0,64.0,76.0,68.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0, 01410015,2.0,2.3,11.3,79.7,0.3,0.0,4.5,51.7,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     343,0.0,,,,,,,1410015.0,83.0,23.4,50.0,14.1,40.0,11.3,135.0,38.1,73.0,20.6,Hudson,Forest Avenue Elementary
Hudson - Hudson High,1410505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,168.0,186.0,188.0,182.0,0.0,933.0, 01410505,1.9,1.4,8.4,86.4,0.2,0.1,1.6,49.0,51.0,171.0,150.0,87.7,0.0,40.7,14.7,44.7,13.3,16.7,18.0,SCIENCE AND TECH/ENG,206.0,53.0,62.0,16.0,144.0,37.0,142.0,37.0,38.0,10.0,386.0,78.8,,,223.0,564.0,,543.0,     965,31.0,0.0,3.2,0.0,0.0,0.0,,1410505.0,175.0,18.8,58.0,6.2,130.0,13.9,303.0,32.5,185.0,19.8,Hudson,Hudson High
Hudson - Mulready Elementary,1410007.0,13.0,41.0,47.0,48.0,45.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0, 01410007,1.7,2.5,8.9,83.1,0.0,0.0,3.8,50.8,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     265,0.0,,,,,,,1410007.0,47.0,19.9,27.0,11.4,46.0,19.5,92.0,39.0,53.0,22.5,Hudson,Mulready Elementary
