,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Everett - Everett High,930505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,525.0,518.0,500.0,4.0,1983.0, 00930505,19.5,5.1,47.3,26.5,0.3,0.2,1.3,51.2,48.8,465.0,311.0,66.9,0.0,31.2,34.7,34.1,34.4,15.1,17.4,SCIENCE AND TECH/ENG,239.0,59.0,60.0,15.0,179.0,44.0,141.0,35.0,27.0,7.0,407.0,82.7,,,454.0,494.0,,493.0,"   2,206",348.0,10.4,9.2,0.0,0.0,0.1,,930505.0,1203.0,60.7,405.0,20.4,225.0,11.3,1204.0,60.7,871.0,43.9,Everett,Everett High
Everett - Devens School,930030.0,0.0,0.0,1.0,3.0,3.0,5.0,5.0,3.0,4.0,7.0,6.0,6.0,6.0,7.0,0.0,56.0, 00930030,23.2,0.0,35.7,37.5,0.0,0.0,3.6,69.6,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     105,6.0,0.0,5.7,0.0,0.0,0.0,,930030.0,22.0,39.3,7.0,12.5,49.0,87.5,53.0,94.6,36.0,64.3,Everett,Devens School
Everett - Parlin School,930058.0,0.0,0.0,98.0,70.0,119.0,90.0,110.0,113.0,106.0,129.0,0.0,0.0,0.0,0.0,0.0,835.0, 00930058,15.3,3.0,67.1,13.3,0.2,0.0,1.1,49.2,50.8,,,,,,,,,,,SCIENCE AND TECH/ENG,37.0,21.0,8.0,5.0,29.0,17.0,78.0,45.0,60.0,34.0,175.0,55.6,,,,,,,"   1,026",57.0,2.9,3.7,0.0,0.0,0.0,,930058.0,647.0,77.5,279.0,33.4,91.0,10.9,645.0,77.2,479.0,57.4,Everett,Parlin School
Everett - Sumner G. Whittier School,930010.0,0.0,61.0,80.0,69.0,89.0,85.0,71.0,60.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,617.0, 00930010,12.2,5.5,63.9,15.9,1.0,0.0,1.6,49.8,50.2,,,,,,,,,,,SCIENCE AND TECH/ENG,37.0,45.0,6.0,7.0,31.0,37.0,33.0,40.0,13.0,16.0,83.0,72.9,,,,,,,     691,14.0,0.9,1.6,0.0,0.0,0.0,,930010.0,484.0,78.4,209.0,33.9,68.0,11.0,472.0,76.5,365.0,59.2,Everett,Sumner G. Whittier School
Everett - George Keverian School,930028.0,0.0,70.0,110.0,85.0,85.0,90.0,117.0,126.0,92.0,87.0,0.0,0.0,0.0,0.0,0.0,862.0, 00930028,15.1,5.1,53.4,23.7,0.5,0.1,2.2,51.9,48.1,,,,,,,,,,,SCIENCE AND TECH/ENG,75.0,36.0,7.0,3.0,68.0,32.0,108.0,51.0,27.0,13.0,210.0,70.1,,,,,,,"   1,020",60.0,0.6,5.7,0.0,0.0,0.0,,930028.0,568.0,65.9,123.0,14.3,135.0,15.7,610.0,70.8,490.0,56.8,Everett,George Keverian School
Everett - Lafayette School,930038.0,0.0,90.0,81.0,126.0,97.0,113.0,118.0,113.0,106.0,100.0,0.0,0.0,0.0,0.0,0.0,944.0, 00930038,18.3,5.3,47.0,26.2,0.5,0.0,2.6,49.2,50.8,,,,,,,,,,,SCIENCE AND TECH/ENG,56.0,29.0,9.0,5.0,47.0,25.0,82.0,43.0,52.0,27.0,190.0,60.8,,,,,,,"   1,018",46.0,3.6,1.4,0.0,0.0,0.0,,930038.0,541.0,57.3,160.0,16.9,202.0,21.4,650.0,68.9,491.0,52.0,Everett,Lafayette School
Everett - Madeline English School,930018.0,0.0,97.0,86.0,86.0,77.0,96.0,104.0,121.0,85.0,80.0,0.0,0.0,0.0,0.0,0.0,832.0, 00930018,12.4,5.0,51.3,29.2,0.4,0.1,1.6,49.9,50.1,,,,,,,,,,,SCIENCE AND TECH/ENG,44.0,24.0,8.0,4.0,36.0,19.0,100.0,54.0,41.0,22.0,185.0,62.4,,,,,,,     945,25.0,0.8,1.9,0.0,0.0,0.0,,930018.0,456.0,54.8,114.0,13.7,162.0,19.5,525.0,63.1,378.0,45.4,Everett,Madeline English School
Everett - Adams School,930003.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0, 00930003,19.9,5.5,38.8,32.3,0.0,0.0,3.5,59.7,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     274,0.0,,,,,,,930003.0,132.0,65.7,38.0,18.9,24.0,11.9,123.0,61.2,97.0,48.3,Everett,Adams School
Everett - Webster School,930015.0,327.0,174.0,67.0,49.0,49.0,35.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0, 00930015,15.6,5.6,49.3,28.3,0.1,0.0,1.1,55.7,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     614,2.0,,,,,,,930015.0,496.0,67.2,98.0,13.3,143.0,19.4,499.0,67.6,384.0,52.0,Everett,Webster School
