,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Ludlow - Ludlow Senior High,1610505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,214.0,217.0,205.0,5.0,894.0, 01610505,1.8,0.3,8.6,86.2,0.3,0.0,2.7,49.4,50.6,190.0,152.0,80.0,0.0,36.2,42.1,21.7,42.1,5.9,12.5,SCIENCE AND TECH/ENG,152.0,73.0,49.0,23.0,103.0,49.0,52.0,25.0,5.0,2.0,209.0,89.1,,,166.0,557.0,,560.0,     904,54.0,4.0,3.5,0.0,0.0,0.0,,1610505.0,78.0,8.7,11.0,1.2,134.0,15.0,281.0,31.4,199.0,22.3,Ludlow,Ludlow Senior High
Ludlow - Paul R Baird Middle,1610305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,209.0,236.0,0.0,0.0,0.0,0.0,0.0,638.0, 01610305,2.2,0.5,8.3,86.4,0.3,0.0,2.4,50.6,49.4,,,,,,,,,,,SCIENCE AND TECH/ENG,92.0,40.0,2.0,1.0,90.0,39.0,109.0,48.0,28.0,12.0,229.0,71.7,,,,,,,     699,46.0,5.0,2.4,0.0,0.0,0.0,,1610305.0,37.0,5.8,8.0,1.3,100.0,15.7,216.0,33.9,146.0,22.9,Ludlow,Paul R Baird Middle
Ludlow - Veterans Park Elementary,1610023.0,0.0,0.0,0.0,0.0,0.0,203.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0, 01610023,2.3,0.0,10.9,83.0,1.0,0.0,2.8,53.3,46.7,,,,,,,,,,,SCIENCE AND TECH/ENG,36.0,21.0,4.0,2.0,32.0,18.0,104.0,60.0,34.0,20.0,174.0,62.6,,,,,,,     376,11.0,1.3,2.1,0.0,0.0,0.0,,1610023.0,26.0,6.6,8.0,2.0,65.0,16.5,155.0,39.3,111.0,28.2,Ludlow,Veterans Park Elementary
Ludlow - Chapin Street Elementary School,1610020.0,0.0,0.0,0.0,162.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0, 01610020,0.9,0.6,12.4,81.4,0.6,0.0,4.0,45.3,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     360,2.0,,,,,,,1610020.0,30.0,9.3,17.0,5.3,38.0,11.8,131.0,40.7,106.0,32.9,Ludlow,Chapin Street Elementary School
Ludlow - East Street Elementary School,1610010.0,91.0,149.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0, 01610010,1.5,0.2,9.5,86.3,0.2,0.0,2.2,55.1,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     406,1.0,,,,,,,1610010.0,51.0,12.7,25.0,6.2,68.0,17.0,191.0,47.6,139.0,34.7,Ludlow,East Street Elementary School
