,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Amherst - Fort River Elementary,80020.0,0.0,33.0,45.0,46.0,43.0,45.0,73.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0, 00080020,10.1,14.6,22.4,47.2,0.0,0.0,5.7,47.8,52.2,,,,,,,,,,,SCIENCE AND TECH/ENG,18.0,35.0,8.0,15.0,10.0,19.0,17.0,33.0,17.0,33.0,52.0,63.5,,,,,,,     352,2.0,,,,,,,80020.0,81.0,24.2,52.0,15.5,87.0,26.0,174.0,51.9,129.0,38.5,Amherst,Fort River Elementary
Amherst - Wildwood Elementary,80050.0,0.0,52.0,52.0,58.0,56.0,56.0,70.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0, 00080050,11.9,11.7,19.1,48.9,0.2,0.0,8.2,52.9,47.1,,,,,,,,,,,SCIENCE AND TECH/ENG,22.0,46.0,7.0,15.0,15.0,31.0,15.0,31.0,11.0,23.0,48.0,74.5,,,,,,,     438,2.0,,,,,,,80050.0,94.0,23.3,54.0,13.4,70.0,17.4,193.0,47.9,129.0,32.0,Amherst,Wildwood Elementary
Amherst - Crocker Farm Elementary,80009.0,65.0,36.0,41.0,51.0,53.0,58.0,39.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0, 00080009,7.6,16.9,24.0,41.4,0.5,0.0,9.6,52.2,47.5,,,,,,,,,,,SCIENCE AND TECH/ENG,17.0,31.0,6.0,11.0,11.0,20.0,30.0,55.0,8.0,15.0,55.0,69.5,,,,,,,     444,0.0,,,,,,,80009.0,101.0,24.8,83.0,20.3,82.0,20.1,197.0,48.3,125.0,30.6,Amherst,Crocker Farm Elementary
