,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Burlington - Marshall Simonds Middle,480303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,272.0,276.0,0.0,0.0,0.0,0.0,0.0,801.0, 00480303,6.0,13.4,5.7,71.0,0.4,0.0,3.5,51.1,48.9,,,,,,,,,,,SCIENCE AND TECH/ENG,117.0,43.0,4.0,1.0,113.0,42.0,123.0,45.0,32.0,12.0,272.0,75.0,,,,,,,     842,7.0,0.1,0.7,0.0,0.0,0.0,,480303.0,114.0,14.2,11.0,1.4,100.0,12.5,194.0,24.2,91.0,11.4,Burlington,Marshall Simonds Middle
Burlington - Pine Glen Elementary,480020.0,0.0,54.0,51.0,66.0,38.0,41.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0, 00480020,2.6,15.2,4.8,72.6,0.0,0.0,4.8,48.1,51.9,,,,,,,,,,,SCIENCE AND TECH/ENG,27.0,68.0,10.0,25.0,17.0,43.0,10.0,25.0,3.0,8.0,40.0,86.3,,,,,,,     298,1.0,,,,,,,480020.0,58.0,18.7,35.0,11.3,40.0,12.9,100.0,32.3,39.0,12.6,Burlington,Pine Glen Elementary
Burlington - Fox Hill,480007.0,0.0,72.0,81.0,71.0,64.0,47.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0, 00480007,5.8,24.8,5.5,59.6,0.0,0.0,4.3,51.6,48.4,,,,,,,,,,,SCIENCE AND TECH/ENG,31.0,55.0,7.0,13.0,24.0,43.0,22.0,39.0,3.0,5.0,56.0,81.7,,,,,,,     404,0.0,,,,,,,480007.0,89.0,22.3,29.0,7.3,44.0,11.0,96.0,24.1,34.0,8.5,Burlington,Fox Hill
Burlington - Memorial,480015.0,0.0,78.0,62.0,76.0,61.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0, 00480015,4.2,18.2,6.4,64.6,0.2,0.0,6.4,49.4,50.6,,,,,,,,,,,SCIENCE AND TECH/ENG,30.0,51.0,12.0,20.0,18.0,31.0,23.0,39.0,6.0,10.0,59.0,78.4,,,,,,,     403,2.0,,,,,,,480015.0,82.0,20.1,34.0,8.4,47.0,11.5,121.0,29.7,52.0,12.8,Burlington,Memorial
Burlington - Francis Wyman Elementary,480035.0,0.0,86.0,116.0,84.0,91.0,85.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.0, 00480035,10.2,20.0,7.6,58.3,0.2,0.0,3.7,51.0,49.0,,,,,,,,,,,SCIENCE AND TECH/ENG,45.0,53.0,15.0,18.0,30.0,35.0,32.0,38.0,8.0,9.0,85.0,79.4,,,,,,,     548,2.0,,,,,,,480035.0,118.0,21.9,46.0,8.5,61.0,11.3,154.0,28.6,64.0,11.9,Burlington,Francis Wyman Elementary
Burlington - Burlington High,480505.0,94.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,251.0,251.0,230.0,0.0,1064.0, 00480505,5.5,14.9,5.6,70.0,0.6,0.1,3.2,49.7,50.3,254.0,218.0,85.8,0.0,45.4,18.8,35.8,17.9,9.2,15.6,SCIENCE AND TECH/ENG,166.0,73.0,64.0,28.0,102.0,45.0,60.0,26.0,2.0,1.0,228.0,90.7,,,313.0,577.0,,577.0,"   1,152",33.0,1.4,2.0,0.0,0.0,0.1,,480505.0,175.0,16.4,14.0,1.3,100.0,9.4,215.0,20.2,119.0,11.2,Burlington,Burlington High
