,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Community Day Charter Public School - Gateway (District) - Community Day Charter Public School - Gateway,4260205.0,40.0,40.0,42.0,41.0,42.0,39.0,40.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0, 04260205,1.3,0.6,95.6,2.5,0.0,0.0,0.0,51.3,48.8,,,,,,,,,,,SCIENCE AND TECH/ENG,22.0,58.0,8.0,21.0,14.0,37.0,11.0,29.0,5.0,13.0,38.0,78.9,,,,,,,     281,0.0,,,,,,,4260205.0,237.0,74.1,93.0,29.1,24.0,7.5,253.0,79.1,164.0,51.3,Community Day Charter Public School,Gateway (District) - Community Day Charter Public School - Gateway
Community Day Charter Public School - Prospect (District) - Community Day Charter Public School - Prospect,4400205.0,44.0,46.0,47.0,50.0,48.0,48.0,42.0,33.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,400.0, 04400205,0.5,0.5,96.3,2.8,0.0,0.0,0.0,49.5,50.5,,,,,,,,,,,SCIENCE AND TECH/ENG,51.0,61.0,14.0,17.0,37.0,45.0,27.0,33.0,5.0,6.0,83.0,83.4,,,,,,,     402,0.0,,,,,,,4400205.0,288.0,72.0,159.0,39.8,40.0,10.0,314.0,78.5,215.0,53.8,Community Day Charter Public School,Prospect (District) - Community Day Charter Public School - Prospect
Community Day Charter Public School - R. Kingman Webster (District) - Community Day Charter Public School - R. Kingman Webster,4310205.0,42.0,42.0,43.0,42.0,42.0,39.0,38.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0, 04310205,1.6,1.3,93.1,4.1,0.0,0.0,0.0,49.1,50.9,,,,,,,,,,,SCIENCE AND TECH/ENG,19.0,59.0,8.0,25.0,11.0,34.0,13.0,41.0,0.0,0.0,32.0,85.9,,,,,,,     283,0.0,,,,,,,4310205.0,192.0,60.0,88.0,27.5,29.0,9.1,243.0,75.9,167.0,52.2,Community Day Charter Public School,R. Kingman Webster (District) - Community Day Charter Public School - R. Kingman Webster
