,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Shrewsbury - Beal School,2710005.0,0.0,254.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0, 02710005,3.9,43.0,7.8,38.2,1.6,0.0,5.5,51.5,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     338,0.0,,,,,,,2710005.0,158.0,51.1,18.0,5.8,33.0,10.7,91.0,29.4,34.0,11.0,Shrewsbury,Beal School
Shrewsbury - Calvin Coolidge,2710015.0,0.0,40.0,108.0,73.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0, 02710015,2.4,34.4,14.5,43.3,0.2,0.0,5.1,48.7,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     427,0.0,,,,,,,2710015.0,190.0,46.0,33.0,8.0,49.0,11.9,142.0,34.4,68.0,16.5,Shrewsbury,Calvin Coolidge
Shrewsbury - Floral Street School,2710020.0,0.0,0.0,131.0,212.0,192.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0, 02710020,2.4,47.7,6.8,38.9,0.7,0.0,3.5,52.1,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     773,1.0,,,,,,,2710020.0,355.0,47.3,47.0,6.3,83.0,11.1,210.0,28.0,78.0,10.4,Shrewsbury,Floral Street School
Shrewsbury - Oak Middle School,2710030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,516.0,0.0,0.0,0.0,0.0,0.0,1009.0, 02710030,2.2,25.9,8.6,60.1,0.2,0.0,3.1,49.8,50.2,,,,,,,,,,,SCIENCE AND TECH/ENG,292.0,61.0,26.0,5.0,266.0,56.0,151.0,32.0,35.0,7.0,478.0,83.1,,,,,,,"   1,018",26.0,1.9,1.2,0.0,0.0,0.0,,2710030.0,274.0,27.2,22.0,2.2,135.0,13.4,240.0,23.8,108.0,10.7,Shrewsbury,Oak Middle School
Shrewsbury - Parker Road Preschool,2710040.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0, 02710040,3.4,40.4,8.1,43.0,0.9,0.0,4.3,50.2,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     285,0.0,,,,,,,2710040.0,109.0,46.4,34.0,14.5,56.0,23.8,112.0,47.7,31.0,13.2,Shrewsbury,Parker Road Preschool
Shrewsbury - Sherwood Middle School,2710305.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0, 02710305,2.8,29.8,8.8,54.9,0.1,0.0,3.6,52.6,47.4,,,,,,,,,,,SCIENCE AND TECH/ENG,322.0,68.0,154.0,32.0,168.0,35.0,124.0,26.0,29.0,6.0,475.0,87.1,,,,,,,"   1,000",20.0,1.7,0.4,0.0,0.0,0.0,,2710305.0,312.0,32.3,15.0,1.6,127.0,13.1,256.0,26.5,97.0,10.0,Shrewsbury,Sherwood Middle School
Shrewsbury - Shrewsbury Sr High,2710505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,513.0,429.0,438.0,0.0,1831.0, 02710505,2.3,22.8,7.9,64.1,0.2,0.1,2.7,46.5,53.4,413.0,386.0,93.5,0.3,46.1,11.7,42.0,11.4,12.4,17.4,SCIENCE AND TECH/ENG,353.0,90.0,182.0,47.0,171.0,44.0,34.0,9.0,4.0,1.0,391.0,96.4,,,557.0,590.0,,605.0,"   1,820",58.0,0.0,3.2,0.0,0.0,0.0,,2710505.0,451.0,24.6,41.0,2.2,206.0,11.3,397.0,21.7,186.0,10.2,Shrewsbury,Shrewsbury Sr High
Shrewsbury - Spring Street,2710035.0,0.0,40.0,71.0,74.0,99.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0, 02710035,1.7,23.7,5.9,62.6,0.3,0.0,5.9,50.8,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     380,0.0,,,,,,,2710035.0,87.0,24.3,10.0,2.8,38.0,10.6,68.0,19.0,18.0,5.0,Shrewsbury,Spring Street
Shrewsbury - Walter J Paton,2710025.0,0.0,20.0,59.0,78.0,89.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0, 02710025,0.3,19.3,7.3,69.0,0.3,0.0,3.8,55.3,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     368,1.0,,,,,,,2710025.0,70.0,20.5,3.0,0.9,54.0,15.8,69.0,20.2,13.0,3.8,Shrewsbury,Walter J Paton
