RegionType,RegionName,StateName,MSAName,AllHomes_Tier1,AllHomes_Tier2,AllHomes_Tier3,AllHomes_AllTiers,UWHomes_Tier1,UWHomes_Tier2,UWHomes_Tier3,UWHomes_AllTiers,UWHomes_TotalValue_Tier1,UWHomes_TotalValue_Tier2,UWHomes_TotalValue_Tier3,UWHomes_TotalValue_AllTiers,UWHomes_MedianValue_AllTiers,AllHomes_Tier1_ShareUW,AllHomes_Tier2_ShareUW,AllHomes_Tier3_ShareUW,AllHomes_AllTiers_ShareUW,UWHomes_ShareInTier1,UWHomes_ShareInTier2,UWHomes_ShareInTier3
County,Knox,Maine,NA,4703,4742,4798,14243,28,29,54,111,4992239,7508739,28773662,41274640,332251,0.005953646608547736,0.006115563053563897,0.011254689453939141,0.007793301972898968,0.25225225225225223,0.26126126126126126,0.4864864864864865
County,Levy,Florida,NA,6343,5745,4468,16556,296,388,407,1091,27268786,67579523,133766352,228614661,184197,0.0466656156392874,0.06753698868581375,0.09109221128021486,0.06589755979705243,0.27131072410632445,0.3556370302474794,0.37305224564619616
County,Maui,Hawaii,NA,17581,17538,19929,55048,396,439,324,1159,105264368,214124568,277843038,597231974,389965,0.022524316022979354,0.02503136047439845,0.016257714887851875,0.021054352565034153,0.34167385677308026,0.3787748058671268,0.27955133735979293
County,Pitt,North Carolina,NA,22042,19844,18836,60722,71,34,23,128,6492558,4484984,6786239,17763781,99179.5,0.0032211233100444604,0.0017133642410804273,0.0012210660437460183,0.0021079674582523632,0.5546875,0.265625,0.1796875
County,York,Maine,NA,27184,27510,29785,84479,330,528,2292,3150,61809256,167737905,1758874862,1988422023,502459.5,0.012139493819894055,0.019193020719738278,0.07695148564713782,0.03728737319333799,0.10476190476190476,0.1676190476190476,0.7276190476190476
County,York,Virginia,NA,6907,6712,5867,19486,316,292,271,879,66283344,88769115,130847e3,285899459,294582,0.0457506877081222,0.043504171632896306,0.04619055735469576,0.04510930924766499,0.3594994311717861,0.3321956769055745,0.3083048919226394
County,Bronx,New York,NA,61944,17676,1903,81523,705,127,43,875,290819040,89575309,49384535,429778884,426935,0.011381247578457963,0.0071848834577958815,0.02259590120861797,0.01073316732701201,0.8057142857142857,0.14514285714285713,0.04914285714285714
County,Bryan,Georgia,NA,3632,4118,4017,11767,79,248,480,807,12493167,57581454,186895031,256969652,288226,0.021751101321585902,0.06022340942204954,0.11949215832710978,0.06858162658281636,0.09789343246592318,0.3073110285006196,0.5947955390334573
County,Bucks,Pennsylvania,NA,68882,70316,72288,211486,123,100,129,352,19712584,21126192,37467727,78306503,210529,0.0017856624372114631,0.0014221514306843393,0.0017845285524568392,0.0016644127743680433,0.3494318181818182,0.2840909090909091,0.3664772727272727
County,Cecil,Maryland,NA,14284,14292,14291,42867,140,193,376,709,23185348,40891856,183148357,247225561,258596,0.009801176141136937,0.01350405821438567,0.026310265201875307,0.016539529241607762,0.19746121297602257,0.27221438645980256,0.5303244005641748
County,Dixie,Florida,NA,2768,1982,1988,6738,340,466,507,1313,27685834,60413466,129360932,217460232,143274,0.12283236994219653,0.23511604439959638,0.2550301810865191,0.19486494508756308,0.25894897182025894,0.3549124143183549,0.38613861386138615
County,Dukes,Massachusetts,NA,4635,4737,5190,14562,95,100,367,562,47319464,92244708,901500129,1041064301,1549919.5,0.020496224379719527,0.021110407430863416,0.07071290944123314,0.03859359978024997,0.16903914590747332,0.17793594306049823,0.6530249110320284
County,Duval,Florida,NA,97020,97097,97063,291180,3458,3054,8042,14554,419282695,661894663,3691137259,4772314617,254294.5,0.03564213564213564,0.03145308299947475,0.0828534044898674,0.04998282849096779,0.23759791122715404,0.2098392194585681,0.5525628693142779
County,Essex,Massachusetts,NA,70001,70107,69819,209927,1795,1351,1723,4869,517650305,581057977,1397660177,2496368459,403032,0.025642490821559692,0.019270543597643602,0.024678096220226587,0.02319377688434551,0.3686588621893613,0.27746970630519613,0.3538714315054426
County,Essex,New Jersey,NA,50969,51304,51125,153398,71,79,315,465,13968137,19405667,113259884,146633688,308990,0.0013930035904177048,0.0015398409480742242,0.006161369193154034,0.003031330265062126,0.15268817204301074,0.16989247311827957,0.6774193548387096
County,Essex,Virginia,NA,1665,1635,1631,4931,2,91,249,342,261398,16987396,89004876,106253670,276719,0.0012012012012012011,0.05565749235474006,0.15266707541385652,0.06935712837152708,0.005847953216374269,0.26608187134502925,0.7280701754385965
County,Glynn,Georgia,NA,12923,13200,13797,39920,2511,2868,4554,9933,578290348,1263104341,3350982221,5192376910,292525,0.19430472800433335,0.21727272727272728,0.33007175472928896,0.24882264529058115,0.252793717909997,0.2887345212926608,0.4584717607973422
County,Horry,South Carolina,NA,51229,57223,43023,151475,1637,2004,3513,7154,200769227,416366656,1518745231,2135881114,250588,0.03195455698920533,0.03502088321129616,0.08165399902377798,0.047228915662650604,0.22882303606374058,0.2801230081073525,0.49105395582890693
County,Kauai,Hawaii,NA,8442,8406,9751,26599,511,231,376,1118,201284143,177754402,547785060,926823605,508299.5,0.06053067993366501,0.027480371163454677,0.038560147677161316,0.042031655325388176,0.45706618962432916,0.20661896243291591,0.3363148479427549
County,Kings,New York,NA,39950,85625,128621,254196,5030,2953,2049,10032,2405227190,2119700312,3383239793,7908167295,581450,0.12590738423028786,0.034487591240875914,0.01593052456441794,0.039465609214936505,0.5013955342902712,0.29435805422647526,0.2042464114832536
County,Mason,Washington,NA,9794,9631,9806,29231,82,244,1365,1691,12602011,59296953,685872056,757771020,415872,0.008372472942617929,0.02533485619354169,0.1392004894962268,0.057849543293079266,0.04849201655824956,0.14429331756357186,0.8072146658781786
County,Ocean,New Jersey,NA,79428,79464,83460,242352,15705,16721,26415,58841,5408923454,8298984690,19678763647,33386671791,446945,0.1977262426348391,0.21042232960837612,0.31649892163910853,0.2427914768601043,0.26690572899848747,0.28417260073758094,0.4489216702639316
County,Pasco,Florida,NA,70666,65186,60502,196354,3204,2546,4874,10624,175393739,352638900,1430792787,1958825426,156349.5,0.04534005037783375,0.03905746632712546,0.08055932035304618,0.054106358923169375,0.3015813253012048,0.2396460843373494,0.4587725903614458
County,Salem,New Jersey,NA,6719,7070,6918,20707,1919,1648,1590,5157,180832391,209624093,282008215,672464699,124890,0.285607977377586,0.2330975954738331,0.22983521248915872,0.24904621625537257,0.37211557106845067,0.31956563893736667,0.30831878999418266
County,Union,New Jersey,NA,42962,43189,42872,129023,199,82,54,335,41549570,20870103,17994902,80414575,234549,0.004632000372422141,0.0018986315960082428,0.0012595633513715245,0.0025964362943041164,0.5940298507462687,0.24477611940298508,0.16119402985074627
County,Bergen,New Jersey,NA,82212,82734,82425,247371,1604,1690,1302,4596,491909821,674939917,699274728,1866124466,370599,0.019510533742032793,0.020426910339159235,0.015796178343949044,0.01857938076815795,0.34899912967798086,0.3677110530896432,0.283289817232376
County,Camden,Georgia,NA,4213,4261,4249,12723,269,344,852,1465,30450582,56000563,280014223,366465368,216360,0.06384998813197247,0.08073222248298521,0.2005177688867969,0.11514579894678928,0.18361774744027304,0.2348122866894198,0.5815699658703072
County,Camden,North Carolina,NA,857,843,849,2549,382,313,357,1052,56958830,65886962,115822101,238667893,212296.5,0.4457409568261377,0.37129300118623965,0.4204946996466431,0.41271086700666926,0.36311787072243346,0.2975285171102662,0.33935361216730037
County,Camden,New Jersey,NA,52049,57502,50533,160084,1226,855,628,2709,89568989,73094273,74783931,237447193,74135,0.023554727276220485,0.014869048033111891,0.012427522608988186,0.01692236575797706,0.4525655223329642,0.31561461794019935,0.23181985972683647
County,Chowan,North Carolina,NA,1561,1410,1248,4219,39,76,219,334,3732494,10746292,78711492,93190278,227126,0.024983984625240232,0.05390070921985816,0.17548076923076922,0.07916567907086987,0.11676646706586827,0.2275449101796407,0.655688622754491
County,Citrus,Florida,NA,23741,24273,23773,71787,1488,1569,3004,6061,100297812,208912010,1036095048,1345304870,173041,0.06267638262920686,0.0646397231491781,0.12636183906111975,0.08443032861102985,0.24550404223725458,0.25886817356871805,0.49562778419402737
County,Craven,North Carolina,NA,11283,11058,10253,32594,905,640,1071,2616,78066357,94402306,322905714,495374377,153072,0.08020916422937162,0.057876650388858746,0.10445723202964986,0.08026017058354298,0.3459480122324159,0.24464831804281345,0.40940366972477066
County,Harris,Texas,NA,375355,447365,312989,1135709,560,337,582,1479,53668112,56338751,215855904,325862767,172792,0.0014919209814708743,7.53299878175539e-4,0.0018594902696260891,0.0013022702118236273,0.3786342123056119,0.22785665990534146,0.3935091277890467
County,Hawaii,Hawaii,NA,19608,19781,20822,60211,50,78,191,319,20044507,49418336,275022230,344485073,480776,0.0025499796001631986,0.00394317779687579,0.009172990106618,0.0052980352427297334,0.15673981191222572,0.2445141065830721,0.5987460815047022
County,Hudson,New Jersey,NA,36262,35639,36799,108700,4411,4486,6964,15861,1961272662,3063100677,6787239150,11811612489,702421,0.12164249076167889,0.12587334100283398,0.1892442729421995,0.14591536338546457,0.27810352436794655,0.2828321039026543,0.43906437172939916
County,Iberia,Louisiana,NA,7055,6194,6294,19543,553,473,257,1283,38905055,44759196,40415291,124079542,77580,0.07838412473423104,0.07636422344204069,0.04083253892596123,0.06565010489689403,0.4310210444271239,0.3686671862821512,0.20031176929072486
County,Island,Washington,NA,12830,12831,12989,38650,453,536,2037,3026,110447824,206470109,1763595500,2080513433,584986.5,0.035307872174590804,0.04177382900787156,0.15682500577411657,0.07829236739974127,0.14970257766027759,0.17713152676801058,0.6731658955717118
County,Jasper,South Carolina,NA,3020,2811,2525,8356,28,136,167,331,3637215,20662787,71993443,96293445,169800,0.009271523178807948,0.048381358946993955,0.06613861386138614,0.03961225466730493,0.08459214501510574,0.4108761329305136,0.5045317220543807
County,Kitsap,Washington,NA,27865,27856,28119,83840,206,245,2106,2557,64568527,134453688,2076948239,2275970454,708642,0.007392786649919253,0.008795232624928203,0.07489597780859916,0.030498568702290077,0.08056315995307001,0.09581540868204928,0.8236214313648808
County,Martin,Florida,NA,21196,21028,25929,68153,1583,1929,2558,6070,315560714,610320658,2142522995,3068404367,305243,0.07468390262313644,0.09173482975080845,0.09865401673801535,0.089064311182193,0.26079077429983527,0.31779242174629324,0.4214168039538715
County,Mobile,Alabama,NA,49911,49897,49619,149427,1544,1182,1718,4444,133916568,190639144,557238901,881794613,157210,0.03093506441465809,0.02368879892578712,0.034623833612124386,0.02974027451531517,0.34743474347434744,0.265976597659766,0.3865886588658866
County,Monroe,Florida,NA,13e3,13044,13317,39361,10567,10839,11224,32630,3499999523,6060464063,14284960707,23845424293,551597.5,0.8128461538461539,0.8309567617295308,0.842832469775475,0.828993165824039,0.3238430891817346,0.332178976402084,0.3439779344161814
County,Nassau,Florida,NA,10720,10759,10755,32234,851,602,1254,2707,124237957,185943121,856753670,1166934748,334860,0.07938432835820895,0.05595315549772284,0.11659693165969316,0.08397964881801824,0.3143701514591799,0.22238640561507203,0.46324344292574804
County,Nassau,New York,NA,122880,123781,124263,370924,10312,10323,15146,35781,4358803987,5503087014,11694022443,21555913444,530295,0.08391927083333334,0.08339729037574425,0.12188664365096609,0.09646450485813805,0.28819764679578547,0.2885050725245242,0.42329728067969036
County,Nueces,Texas,NA,35673,35962,35274,106909,1784,1534,2852,6170,228525554,362700547,1155194250,1746420351,229850.5,0.05000981134191125,0.0426561370335354,0.08085275273572604,0.057712634109382745,0.28914100486223665,0.2486223662884927,0.4622366288492707
County,Onslow,North Carolina,NA,17623,19413,17989,55025,792,1123,1499,3414,117447985,274693033,637026920,1029167938,264070.5,0.044941269931339727,0.05784783392571988,0.08332870087275557,0.062044525215811,0.23198594024604569,0.3289396602226128,0.43907439953134153
County,Orange,California,NA,242939,243076,254672,740687,6595,12817,9594,29006,4026400993,11838044667,14135417562,29999863222,842905,0.027146732307287015,0.052728364791258704,0.03767198592699629,0.039160941126278714,0.22736675170654347,0.4418740950148245,0.33075915327863203
County,Orange,Texas,NA,12706,11589,8461,32756,1030,752,565,2347,63586444,79793664,101992033,245372141,76708,0.08106406422162758,0.06488911899214772,0.06677697671670016,0.07165099523751374,0.4388581167447806,0.3204090328078398,0.24073285044737963
County,Pender,North Carolina,NA,7552,8308,7520,23380,1003,979,1058,3040,249893703,352228835,590464036,1192586574,355522.5,0.1328125,0.11783822821376987,0.14069148936170212,0.1300256629597947,0.3299342105263158,0.32203947368421054,0.3480263157894737
County,Pierce,Washington,NA,84406,90098,91945,266449,204,163,1067,1434,49976815,63916293,844671558,958564666,545793.5,0.0024168897945643676,0.0018091411574063798,0.011604763717439773,0.005381892970136875,0.14225941422594143,0.11366806136680614,0.7440725244072525
County,Putnam,Florida,NA,11932,11066,11091,34089,233,649,1291,2173,10648661,56917850,278230444,345796955,128028,0.019527321488434463,0.05864811133200795,0.11640068524028492,0.06374490304790402,0.10722503451449608,0.2986654394845835,0.5941095260009204
County,Queens,New York,NA,105831,127896,70773,304500,6217,4767,1032,12016,2676366650,3478869719,1202345880,7357582249,568775.5,0.058744602243199065,0.03727247138299869,0.014581832054597092,0.03946141215106733,0.5173934753661784,0.39672103861517977,0.08588548601864181
County,Skagit,Washington,NA,14246,16267,16495,47008,358,414,714,1486,87203463,134455478,453961282,675620223,366146,0.025129861013617857,0.02545029814962808,0.04328584419521067,0.03161164057181756,0.24091520861372812,0.27860026917900405,0.48048452220726784
County,Sussex,Delaware,NA,32387,33497,32762,98646,2775,1767,2599,7141,473352115,549900288,1262745701,2285998104,293960,0.085682526939821535,0.052750992626205334,0.07932971125083939,0.07239016280437119,0.38860103626943004,0.24744433552723707,0.36395462820333285
County,Talbot,Maryland,NA,5846,5832,5847,17525,413,542,934,1889,107377478,259741016,1089839524,1456958018,551749,0.07064659596305166,0.0929355281207133,0.15974003762613306,0.1077888730385164,0.21863419798835362,0.2869242985706723,0.49444150344097404
County,Taylor,Florida,NA,2913,2880,2876,8669,161,163,599,923,8070564,15795783,156838085,180704432,145792,0.05526948163405424,0.05659722222222222,0.20827538247566063,0.10647133464067367,0.1744312026002167,0.17659804983748645,0.6489707475622969
County,Walton,Florida,NA,15806,12634,13459,41899,1187,829,926,2942,238636067,308893901,869662204,1417192172,297839.5,0.07509806402631912,0.06561659015355391,0.0688015454342819,0.07021647294684838,0.4034670292318151,0.28178110129163836,0.31475186947654654
County,Aransas,Texas,NA,4971,4563,4500,14034,529,1134,1862,3525,55728397,200314015,944678962,1200721374,242501,0.10641721987527661,0.2485207100591716,0.4137777777777778,0.25117571611799916,0.1500709219858156,0.32170212765957445,0.52822695035461
County,Baldwin,Alabama,NA,25460,25472,25459,76391,1344,1582,3324,6250,231533311,438077007,2024641742,2694252060,357251,0.05278868813825609,0.06210741206030151,0.13056286578420204,0.08181592072364545,0.21504,0.25312,0.53184
County,Brevard,Florida,NA,72809,77658,83298,233765,5890,4854,8249,18993,890816466,1376422274,5079763331,7347002071,318951,0.08089659245422956,0.06250482886502357,0.09902998871521525,0.08124826214360575,0.3101142526193861,0.2555678407834465,0.4343179065971674
County,Bristol,Massachusetts,NA,48138,48124,47836,144098,509,339,740,1588,104214509,97519657,492292439,694026605,300147.5,0.010573767086293573,0.007044302219266894,0.015469520862948408,0.011020277866451997,0.32052896725440805,0.21347607052896725,0.4659949622166247
County,Bristol,Rhode Island,NA,5381,5509,5446,16336,293,167,255,715,63675911,61840194,191067707,316583812,336014,0.05445084556773834,0.030314031584679615,0.046823356591994124,0.043768364348677764,0.4097902097902098,0.23356643356643356,0.35664335664335667
County,Broward,Florida,NA,219128,219299,219948,658375,72341,65371,65386,203098,10442243989,17724213954,42193753599,70360211542,249187,0.33013124749005146,0.2980907345678731,0.29727935693891283,0.30848376685019935,0.3561876532511398,0.32186924538892553,0.3219431013599346
County,Calhoun,Texas,NA,2667,2716,2694,8077,76,185,294,555,9146497,28662528,102042122,139851147,183808,0.028496437945256844,0.06811487481590574,0.1091314031180401,0.06871363129874954,0.13693693693693693,0.3333333333333333,0.5297297297297298
County,Calvert,Maryland,NA,13115,13188,12895,39198,475,530,561,1566,99507682,146811138,272456342,518775162,275303,0.036218070911170415,0.04018804974218987,0.043505234587049246,0.03995101790907699,0.3033205619412516,0.3384418901660281,0.35823754789272033
County,Cameron,Louisiana,NA,675,641,438,1754,409,422,310,1141,39960181,60431439,68728168,169119788,128074,0.605925925925926,0.6583463338533542,0.7077625570776256,0.6505131128848347,0.3584574934268186,0.3698510078878177,0.27169149868536374
County,Cameron,Texas,NA,47084,37642,35503,120229,1621,1430,1223,4274,204803127,299431582,532702026,1036936735,171088.5,0.03442783111035596,0.03798947983635301,0.03444779314424133,0.03554882765389382,0.3792700046794572,0.3345811885821245,0.28614880673841836
County,Charles,Maryland,NA,19242,19748,20507,59497,98,122,162,382,21104110,33124766,102894696,157123572,289334.5,0.005093025673006964,0.006177840794004456,0.007899741551665285,0.006420491789501992,0.25654450261780104,0.3193717277486911,0.42408376963350786
County,Chatham,Georgia,NA,26975,27939,26551,81465,2386,3145,3765,9296,502762186,890311417,2220521679,3613595282,330339,0.08845227062094532,0.1125666630874405,0.14180256864148244,0.11411035413981464,0.2566695352839931,0.33831755593803786,0.405012908777969
County,Clallam,Washington,NA,9867,9860,9859,29586,54,38,213,305,9258990,10316868,116978786,136554644,421685,0.005472788081483734,0.0038539553752535496,0.021604625215539103,0.010308929899276686,0.17704918032786884,0.12459016393442623,0.6983606557377049
County,Clatsop,Oregon,NA,4745,5228,5568,15541,811,376,225,1412,169161798,101516291,91382311,362060400,237912,0.17091675447839833,0.07192042846212701,0.04040948275862069,0.09085644424425712,0.5743626062322946,0.26628895184135976,0.15934844192634562
County,Collier,Florida,NA,56141,60346,66067,182554,15516,8956,13634,38106,2833764554,3761685178,21477926663,28073376395,376892,0.27637555440765216,0.14841083087528587,0.20636626454962387,0.20873823635746136,0.4071799716580066,0.23502860441925155,0.3577914239227418
