,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Tantasqua - Tantasqua Regional Jr High,7700405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,297.0,0.0,0.0,0.0,0.0,0.0,590.0, 07700405,0.8,1.4,4.6,89.0,0.2,0.0,4.1,49.7,50.3,,,,,,,,,,,SCIENCE AND TECH/ENG,146.0,52.0,6.0,2.0,140.0,50.0,124.0,44.0,12.0,4.0,282.0,81.1,,,,,,,     590,8.0,1.4,0.0,0.0,0.0,0.0,,7700405.0,12.0,2.0,3.0,0.5,87.0,14.7,201.0,34.1,141.0,23.9,Tantasqua,Tantasqua Regional Jr High
Tantasqua - Tantasqua Regional Sr High,7700505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,198.0,169.0,179.0,8.0,728.0, 07700505,1.0,1.0,4.9,91.2,0.3,0.0,1.6,46.0,54.0,183.0,153.0,83.6,0.0,34.0,27.5,38.6,26.8,15.7,11.1,SCIENCE AND TECH/ENG,128.0,93.0,56.0,41.0,72.0,52.0,8.0,6.0,2.0,1.0,138.0,96.9,,,226.0,579.0,,602.0,     787,14.0,0.3,1.5,0.0,0.0,0.0,,7700505.0,3.0,0.4,1.0,0.1,51.0,7.0,141.0,19.4,108.0,14.8,Tantasqua,Tantasqua Regional Sr High
Tantasqua - Tantasqua Regional Vocational,7700605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,108.0,108.0,113.0,0.0,470.0, 07700605,0.2,0.2,6.0,91.5,0.2,0.0,1.9,58.5,41.5,84.0,42.0,50.0,0.0,16.7,54.8,28.6,47.6,21.4,4.8,SCIENCE AND TECH/ENG,83.0,73.0,20.0,18.0,63.0,56.0,27.0,24.0,3.0,3.0,113.0,89.8,,,69.0,522.0,,531.0,     506,29.0,1.2,5.1,0.0,0.0,0.0,,7700605.0,1.0,0.2,0.0,0.0,71.0,15.1,149.0,31.7,100.0,21.3,Tantasqua,Tantasqua Regional Vocational
