,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Chelmsford - Chelmsford High,560505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,367.0,351.0,389.0,0.0,1479.0, 00560505,2.9,12.6,3.4,79.0,0.0,0.1,2.0,49.5,50.5,401.0,359.0,89.5,0.0,31.8,19.8,48.5,19.5,13.6,21.4,SCIENCE AND TECH/ENG,288.0,91.0,149.0,47.0,139.0,44.0,28.0,9.0,0.0,0.0,316.0,97.1,,,528.0,587.0,,595.0,"   1,510",44.0,1.9,1.3,0.0,0.0,0.0,,560505.0,143.0,9.7,18.0,1.2,190.0,12.8,325.0,22.0,163.0,11.0,Chelmsford,Chelmsford High
Chelmsford - Col Moses Parker School,560305.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,176.0,181.0,180.0,0.0,0.0,0.0,0.0,0.0,715.0, 00560305,1.8,15.9,5.6,75.0,0.1,0.0,1.5,52.3,47.7,,,,,,,,,,,SCIENCE AND TECH/ENG,230.0,66.0,55.0,16.0,175.0,50.0,101.0,29.0,20.0,6.0,351.0,86.9,,,,,,,     740,0.0,,,,,,,560305.0,99.0,13.8,19.0,2.7,130.0,18.2,213.0,29.8,83.0,11.6,Chelmsford,Col Moses Parker School
Chelmsford - McCarthy Middle School,560310.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,224.0,199.0,212.0,0.0,0.0,0.0,0.0,0.0,816.0, 00560310,3.6,13.5,5.1,74.5,0.0,0.2,3.1,52.2,47.8,,,,,,,,,,,SCIENCE AND TECH/ENG,253.0,59.0,67.0,16.0,186.0,43.0,141.0,33.0,37.0,9.0,431.0,82.9,,,,,,,     871,14.0,0.5,1.3,0.0,0.0,0.0,,560310.0,99.0,12.1,31.0,3.8,143.0,17.5,246.0,30.1,96.0,11.8,Chelmsford,McCarthy Middle School
Chelmsford - South Row,560015.0,0.0,82.0,77.0,77.0,78.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0, 00560015,2.7,17.0,6.2,70.3,0.0,0.0,3.7,53.6,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     396,0.0,,,,,,,560015.0,60.0,15.0,39.0,9.7,36.0,9.0,108.0,26.9,44.0,11.0,Chelmsford,South Row
Chelmsford - Center Elementary School,560005.0,0.0,90.0,94.0,82.0,92.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0, 00560005,2.9,15.1,5.1,72.7,0.2,0.2,3.8,47.7,52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     450,0.0,,,,,,,560005.0,64.0,14.2,40.0,8.9,64.0,14.2,142.0,31.5,62.0,13.7,Chelmsford,Center Elementary School
Chelmsford - Charles D Harrington,560025.0,0.0,93.0,107.0,91.0,109.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0, 00560025,4.5,18.6,9.9,63.4,0.0,0.0,3.6,54.7,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     497,0.0,,,,,,,560025.0,89.0,18.0,32.0,6.5,64.0,13.0,167.0,33.8,92.0,18.6,Chelmsford,Charles D Harrington
Chelmsford - Byam School,560030.0,0.0,103.0,91.0,99.0,100.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0, 00560030,1.8,11.1,5.9,76.1,0.6,0.0,4.5,52.2,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     515,0.0,,,,,,,560030.0,52.0,10.3,23.0,4.5,76.0,15.0,135.0,26.7,73.0,14.4,Chelmsford,Byam School
Chelmsford - Community Education Center,560001.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0, 00560001,3.0,23.5,6.8,63.6,0.8,0.0,2.3,60.6,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     173,0.0,,,,,,,560001.0,22.0,16.7,0.0,0.0,57.0,43.2,71.0,53.8,30.0,22.7,Chelmsford,Community Education Center
