,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Boston - David A Ellis,350072.0,58.0,74.0,83.0,68.0,74.0,54.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0, 00350072,39.6,0.0,54.9,2.6,0.7,0.0,2.2,50.3,49.7,,,,,,,,,,,SCIENCE AND TECH/ENG,1.0,2.0,0.0,0.0,1.0,2.0,16.0,38.0,25.0,60.0,42.0,38.7,,,,,,,     497,9.0,0.0,1.8,0.0,0.0,0.0,,350072.0,200.0,43.8,176.0,38.5,62.0,13.6,400.0,87.5,366.0,80.1,Boston,David A Ellis
Boston - Eliot Elementary,350096.0,58.0,81.0,81.0,79.0,95.0,64.0,74.0,48.0,29.0,26.0,0.0,0.0,0.0,0.0,0.0,635.0, 00350096,7.4,9.3,17.2,59.4,0.2,0.2,6.5,50.4,49.6,,,,,,,,,,,SCIENCE AND TECH/ENG,20.0,30.0,3.0,4.0,17.0,25.0,34.0,51.0,13.0,19.0,67.0,66.0,,,,,,,     578,0.0,,,,,,,350096.0,113.0,17.8,67.0,10.6,114.0,18.0,262.0,41.3,138.0,21.7,Boston,Eliot Elementary
Boston - King K-8,350376.0,59.0,61.0,62.0,54.0,59.0,50.0,41.0,46.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,487.0, 00350376,61.2,0.6,31.2,2.9,0.2,0.2,3.7,49.1,50.9,,,,,,,,,,,SCIENCE AND TECH/ENG,4.0,6.0,0.0,0.0,4.0,6.0,20.0,31.0,41.0,63.0,65.0,38.1,,,,,,,     598,57.0,0.5,9.5,0.0,0.0,0.0,,350376.0,161.0,33.1,120.0,24.6,84.0,17.2,427.0,87.7,380.0,78.0,Boston,King K-8
Boston - Haynes Early Education Center,350010.0,59.0,75.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0, 00350010,49.5,4.2,38.7,2.8,0.0,0.0,4.7,53.3,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     207,0.0,,,,,,,350010.0,114.0,53.8,107.0,50.5,37.0,17.5,177.0,83.5,140.0,66.0,Boston,Haynes Early Education Center
Boston - Charles Sumner,350052.0,61.0,101.0,85.0,90.0,90.0,89.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0, 00350052,19.4,1.7,59.9,13.9,0.0,0.2,4.8,53.7,46.3,,,,,,,,,,,SCIENCE AND TECH/ENG,2.0,5.0,0.0,0.0,2.0,5.0,21.0,49.0,20.0,47.0,43.0,43.0,,,,,,,     603,0.0,,,,,,,350052.0,285.0,49.1,259.0,44.6,116.0,20.0,434.0,74.7,341.0,58.7,Boston,Charles Sumner
Boston - Mather,350227.0,62.0,86.0,82.0,93.0,107.0,95.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0, 00350227,38.7,32.6,16.3,5.9,0.5,0.0,6.1,49.8,50.2,,,,,,,,,,,SCIENCE AND TECH/ENG,8.0,10.0,1.0,1.0,7.0,9.0,42.0,53.0,29.0,37.0,79.0,48.1,,,,,,,     692,4.0,,,,,,,350227.0,299.0,49.2,254.0,41.8,87.0,14.3,501.0,82.4,364.0,59.9,Boston,Mather
Boston - Joseph Lee,350183.0,66.0,53.0,58.0,53.0,60.0,85.0,74.0,79.0,68.0,65.0,0.0,0.0,0.0,0.0,0.0,661.0, 00350183,54.8,5.7,27.7,5.4,0.2,0.3,5.9,54.2,45.8,,,,,,,,,,,SCIENCE AND TECH/ENG,19.0,15.0,3.0,2.0,16.0,13.0,48.0,39.0,56.0,46.0,123.0,65.0,,,,,,,     722,79.0,0.1,10.8,0.0,0.0,0.0,,350183.0,174.0,26.3,126.0,19.1,231.0,34.9,549.0,83.1,449.0,67.9,Boston,Joseph Lee
Boston - William E Russell,350366.0,66.0,58.0,60.0,58.0,51.0,66.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0, 00350366,31.9,13.2,49.5,2.5,0.7,0.2,2.0,50.2,49.8,,,,,,,,,,,SCIENCE AND TECH/ENG,6.0,20.0,0.0,0.0,6.0,20.0,18.0,60.0,6.0,20.0,30.0,64.2,,,,,,,     427,0.0,,,,,,,350366.0,261.0,64.0,236.0,57.8,39.0,9.6,360.0,88.2,263.0,64.5,Boston,William E Russell
Boston - Lyndon,350262.0,66.0,65.0,71.0,68.0,55.0,80.0,51.0,59.0,35.0,32.0,0.0,0.0,0.0,0.0,0.0,582.0, 00350262,8.9,2.2,29.6,55.5,0.0,0.0,3.8,52.1,47.9,,,,,,,,,,,SCIENCE AND TECH/ENG,17.0,19.0,4.0,4.0,13.0,14.0,38.0,42.0,36.0,40.0,91.0,53.3,,,,,,,     598,2.0,,,,,,,350262.0,145.0,24.9,98.0,16.8,98.0,16.8,251.0,43.1,174.0,29.9,Boston,Lyndon
Boston - East Boston Early Childhood Center,350009.0,70.0,76.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0, 00350009,9.6,2.5,59.9,25.4,0.0,0.5,2.0,49.7,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     190,0.0,,,,,,,350009.0,125.0,63.5,112.0,56.9,41.0,20.8,159.0,80.7,105.0,53.3,Boston,East Boston Early Childhood Center
Boston - Dr. William Henderson Lower,350266.0,74.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0, 00350266,31.6,14.6,16.0,33.5,0.0,0.5,3.8,48.6,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     227,1.0,,,,,,,350266.0,52.0,24.5,49.0,23.1,49.0,23.1,136.0,64.2,89.0,42.0,Boston,Dr. William Henderson Lower
Boston - Blackstone,350390.0,76.0,78.0,82.0,78.0,85.0,92.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0, 00350390,25.4,1.7,66.8,3.5,0.2,0.2,2.3,53.2,46.8,,,,,,,,,,,SCIENCE AND TECH/ENG,7.0,12.0,1.0,2.0,6.0,10.0,28.0,48.0,23.0,40.0,58.0,51.3,,,,,,,     683,45.0,4.7,3.5,0.0,0.0,0.1,,350390.0,306.0,53.2,268.0,46.6,138.0,24.0,529.0,92.0,435.0,75.7,Boston,Blackstone
Boston - Baldwin Early Learning Center,350003.0,83.0,57.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0, 00350003,9.2,28.9,31.2,25.4,0.0,0.0,5.2,60.1,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     192,0.0,,,,,,,350003.0,118.0,68.2,112.0,64.7,37.0,21.4,140.0,80.9,55.0,31.8,Boston,Baldwin Early Learning Center
Boston - Josiah Quincy,350286.0,83.0,113.0,120.0,117.0,123.0,130.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0, 00350286,14.7,58.5,12.1,10.8,0.1,0.0,3.7,49.6,50.4,,,,,,,,,,,SCIENCE AND TECH/ENG,60.0,45.0,27.0,20.0,33.0,25.0,50.0,38.0,23.0,17.0,133.0,74.4,,,,,,,     880,5.0,,,,,,,350286.0,552.0,66.3,496.0,59.6,123.0,14.8,672.0,80.8,434.0,52.2,Boston,Josiah Quincy
Boston - Mattapan Early Elementary School,350016.0,94.0,126.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0, 00350016,65.2,0.3,26.2,5.9,0.7,0.0,1.7,61.7,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350016.0,121.0,41.7,113.0,39.0,60.0,20.7,240.0,82.8,190.0,65.5,Boston,Mattapan Early Elementary School
Boston - Curley K-8 School,350020.0,100.0,94.0,90.0,79.0,90.0,118.0,108.0,111.0,79.0,75.0,0.0,0.0,0.0,0.0,0.0,944.0, 00350020,19.3,2.4,51.4,21.3,0.1,0.1,5.4,51.5,48.5,,,,,,,,,,,SCIENCE AND TECH/ENG,27.0,17.0,10.0,6.0,17.0,10.0,54.0,33.0,82.0,50.0,163.0,50.5,,,,,,,"   1,018",35.0,0.3,3.1,0.0,0.0,0.0,,350020.0,430.0,45.6,333.0,35.3,252.0,26.7,672.0,71.2,520.0,55.1,Boston,Curley K-8 School
