,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
West Bridgewater - Howard School,3230305.0,0.0,0.0,0.0,0.0,0.0,101.0,94.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0, 03230305,5.9,0.7,2.4,83.0,0.7,0.3,6.9,46.5,53.5,,,,,,,,,,,SCIENCE AND TECH/ENG,56.0,67.0,16.0,19.0,40.0,48.0,27.0,32.0,1.0,1.0,84.0,89.3,,,,,,,     278,3.0,,,,,,,3230305.0,2.0,0.7,2.0,0.7,33.0,11.5,81.0,28.1,58.0,20.1,West Bridgewater,Howard School
West Bridgewater - Rose L Macdonald,3230003.0,0.0,0.0,84.0,85.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0, 03230003,4.9,1.2,2.4,87.9,0.0,0.0,3.6,50.6,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     267,4.0,,,,,,,3230003.0,7.0,2.8,5.0,2.0,27.0,10.9,59.0,23.9,34.0,13.8,West Bridgewater,Rose L Macdonald
West Bridgewater - Spring Street School,3230005.0,62.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0, 03230005,1.4,1.4,5.7,84.4,0.0,0.0,7.1,54.6,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     145,0.0,,,,,,,3230005.0,4.0,2.8,4.0,2.8,17.0,12.1,35.0,24.8,21.0,14.9,West Bridgewater,Spring Street School
West Bridgewater - West Bridgewater Junior/Senior,3230505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,116.0,101.0,104.0,105.0,94.0,0.0,626.0, 03230505,4.2,1.1,2.9,89.5,0.2,0.2,2.1,47.4,52.6,99.0,86.0,86.9,0.0,31.4,18.6,50.0,18.6,29.1,14.0,SCIENCE AND TECH/ENG,126.0,62.0,49.0,24.0,77.0,38.0,65.0,32.0,13.0,6.0,204.0,83.2,,,126.0,553.0,,537.0,     629,33.0,4.6,1.0,0.0,0.0,0.3,,3230505.0,7.0,1.1,5.0,0.8,47.0,7.5,137.0,21.9,94.0,15.0,West Bridgewater,West Bridgewater Junior/Senior
