,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Sharon - Cottage Street,2660005.0,0.0,66.0,86.0,79.0,96.0,94.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0, 02660005,3.1,29.4,3.7,56.2,0.2,0.2,7.3,52.3,47.7,,,,,,,,,,,SCIENCE AND TECH/ENG,59.0,63.0,29.0,31.0,30.0,32.0,28.0,30.0,6.0,6.0,93.0,83.9,,,,,,,     532,3.0,,,,,,,2660005.0,134.0,25.8,52.0,10.0,67.0,12.9,136.0,26.2,24.0,4.6,Sharon,Cottage Street
Sharon - East Elementary,2660010.0,0.0,67.0,79.0,86.0,80.0,91.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0, 02660010,5.1,28.9,5.5,55.0,0.0,0.0,5.5,49.9,50.1,,,,,,,,,,,SCIENCE AND TECH/ENG,47.0,64.0,23.0,31.0,24.0,32.0,23.0,31.0,4.0,5.0,74.0,85.1,,,,,,,     460,0.0,,,,,,,2660010.0,134.0,27.3,27.0,5.5,44.0,9.0,113.0,23.0,45.0,9.2,Sharon,East Elementary
Sharon - Heights Elementary,2660015.0,0.0,81.0,77.0,91.0,89.0,92.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0, 02660015,2.9,35.4,4.6,49.3,0.0,0.0,7.8,50.1,49.9,,,,,,,,,,,SCIENCE AND TECH/ENG,63.0,64.0,27.0,28.0,36.0,37.0,30.0,31.0,5.0,5.0,98.0,88.0,,,,,,,     538,0.0,,,,,,,2660015.0,165.0,31.4,31.0,5.9,72.0,13.7,129.0,24.6,44.0,8.4,Sharon,Heights Elementary
Sharon - Sharon Early Childhood Center,2660001.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0, 02660001,6.0,18.0,10.0,58.0,0.0,0.0,8.0,58.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660001.0,6.0,12.0,0.0,0.0,16.0,32.0,18.0,36.0,5.0,10.0,Sharon,Sharon Early Childhood Center
Sharon - Sharon High,2660505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,250.0,283.0,270.0,0.0,1079.0, 02660505,7.3,25.1,4.5,60.0,0.0,0.1,3.0,52.5,47.5,246.0,214.0,87.0,0.0,48.6,5.1,46.3,4.7,5.6,15.4,SCIENCE AND TECH/ENG,253.0,91.0,146.0,53.0,107.0,39.0,20.0,7.0,4.0,1.0,277.0,97.2,,,315.0,613.0,,623.0,"   1,075",13.0,0.6,0.8,0.0,0.0,0.0,,2660505.0,237.0,22.0,12.0,1.1,130.0,12.0,210.0,19.5,90.0,8.3,Sharon,Sharon High
Sharon - Sharon Middle,2660305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,270.0,318.0,0.0,0.0,0.0,0.0,0.0,873.0, 02660305,4.0,28.1,4.7,58.4,0.2,0.1,4.5,51.0,49.0,,,,,,,,,,,SCIENCE AND TECH/ENG,175.0,64.0,15.0,5.0,160.0,59.0,81.0,30.0,17.0,6.0,273.0,85.5,,,,,,,     921,31.0,2.6,1.0,0.0,0.0,0.0,,2660305.0,226.0,25.9,26.0,3.0,117.0,13.4,203.0,23.3,72.0,8.2,Sharon,Sharon Middle
