,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Bedford - John Glenn Middle,230305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,189.0,213.0,0.0,0.0,0.0,0.0,0.0,583.0, 00230305,6.0,16.6,5.3,67.8,0.0,0.0,4.3,51.5,48.5,,,,,,,,,,,SCIENCE AND TECH/ENG,67.0,44.0,7.0,5.0,60.0,39.0,66.0,43.0,21.0,14.0,154.0,73.2,,,,,,,     563,23.0,4.1,1.6,0.0,0.0,0.0,,230305.0,101.0,17.3,24.0,4.1,104.0,17.8,154.0,26.4,40.0,6.9,Bedford,John Glenn Middle
Bedford - Lt Job Lane School,230012.0,0.0,0.0,0.0,0.0,211.0,203.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0, 00230012,5.3,17.7,3.9,70.1,0.0,0.0,3.0,52.5,47.5,,,,,,,,,,,SCIENCE AND TECH/ENG,115.0,65.0,43.0,24.0,72.0,41.0,46.0,26.0,16.0,9.0,177.0,84.2,,,,,,,     584,8.0,1.0,0.7,0.0,0.0,0.0,,230012.0,126.0,20.7,65.0,10.7,102.0,16.7,200.0,32.8,52.0,8.5,Bedford,Lt Job Lane School
Bedford - Lt Elezer Davis,230010.0,0.0,197.0,199.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0, 00230010,5.5,18.9,5.5,61.6,0.0,0.0,8.4,48.2,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     613,0.0,,,,,,,230010.0,124.0,20.8,63.0,10.6,52.0,8.7,152.0,25.5,60.0,10.1,Bedford,Lt Elezer Davis
Bedford - Bedford High,230505.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,210.0,209.0,217.0,0.0,858.0, 00230505,7.1,12.0,7.8,67.2,0.0,0.2,5.6,50.3,49.4,224.0,205.0,91.5,0.0,42.4,17.6,40.0,15.1,6.3,13.2,SCIENCE AND TECH/ENG,155.0,80.0,78.0,40.0,77.0,40.0,34.0,18.0,4.0,2.0,193.0,92.5,,,222.0,603.0,,600.0,     924,47.0,2.3,4.1,0.0,0.0,0.0,,230505.0,87.0,10.1,9.0,1.0,150.0,17.5,205.0,23.9,64.0,7.5,Bedford,Bedford High
