,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
North Attleborough - North Attleboro High,2120505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,302.0,287.0,314.0,0.0,1156.0, 02120505,3.1,6.1,5.5,82.3,0.3,0.1,2.5,49.5,50.4,300.0,263.0,87.7,0.4,31.2,19.0,49.4,16.0,20.5,15.2,SCIENCE AND TECH/ENG,231.0,89.0,135.0,52.0,96.0,37.0,19.0,7.0,9.0,3.0,259.0,95.8,,,392.0,584.0,,579.0,"   1,191",24.0,0.4,1.6,0.0,0.0,0.0,,2120505.0,74.0,6.4,25.0,2.2,155.0,13.4,286.0,24.7,174.0,15.1,North Attleborough,North Attleboro High
North Attleborough - North Attleborough Middle,2120305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,346.0,373.0,0.0,0.0,0.0,0.0,0.0,1088.0, 02120305,2.2,6.3,4.5,83.3,0.2,0.1,3.4,51.3,48.7,,,,,,,,,,,SCIENCE AND TECH/ENG,211.0,60.0,8.0,2.0,203.0,58.0,115.0,33.0,26.0,7.0,352.0,84.2,,,,,,,"   1,101",13.0,1.0,0.2,0.0,0.0,0.0,,2120305.0,67.0,6.2,35.0,3.2,180.0,16.5,322.0,29.6,157.0,14.4,North Attleborough,North Attleborough Middle
North Attleborough - Falls,2120010.0,0.0,26.0,41.0,54.0,41.0,47.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0, 02120010,2.9,5.1,6.2,82.5,0.0,0.4,2.9,51.6,48.4,,,,,,,,,,,SCIENCE AND TECH/ENG,25.0,56.0,8.0,18.0,17.0,38.0,15.0,33.0,5.0,11.0,45.0,83.3,,,,,,,     288,1.0,,,,,,,2120010.0,16.0,5.8,8.0,2.9,33.0,12.0,70.0,25.5,46.0,16.7,North Attleborough,Falls
North Attleborough - Amvet Boulevard,2120007.0,0.0,44.0,64.0,68.0,72.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0, 02120007,3.3,11.6,5.8,74.4,0.5,0.0,4.5,48.7,51.3,,,,,,,,,,,SCIENCE AND TECH/ENG,54.0,68.0,14.0,18.0,40.0,51.0,20.0,25.0,5.0,6.0,79.0,88.3,,,,,,,     417,0.0,,,,,,,2120007.0,29.0,7.3,18.0,4.5,30.0,7.5,84.0,21.1,32.0,8.0,North Attleborough,Amvet Boulevard
North Attleborough - Community,2120030.0,0.0,49.0,44.0,59.0,52.0,55.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0, 02120030,6.3,3.8,9.4,72.8,0.0,0.0,7.8,57.2,42.8,,,,,,,,,,,SCIENCE AND TECH/ENG,18.0,40.0,4.0,9.0,14.0,31.0,22.0,49.0,5.0,11.0,45.0,75.6,,,,,,,     356,1.0,,,,,,,2120030.0,41.0,12.8,33.0,10.3,84.0,26.3,200.0,62.5,136.0,42.5,North Attleborough,Community
North Attleborough - Roosevelt Avenue,2120015.0,0.0,53.0,47.0,47.0,31.0,49.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0, 02120015,1.1,6.4,2.8,85.5,0.0,0.0,4.2,44.9,55.1,,,,,,,,,,,SCIENCE AND TECH/ENG,35.0,76.0,18.0,39.0,17.0,37.0,11.0,24.0,0.0,0.0,46.0,92.9,,,,,,,     320,0.0,,,,,,,2120015.0,13.0,4.6,9.0,3.2,31.0,11.0,67.0,23.7,35.0,12.4,North Attleborough,Roosevelt Avenue
North Attleborough - Joseph W Martin Jr Elementary,2120013.0,0.0,97.0,118.0,93.0,90.0,110.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0, 02120013,3.3,4.4,2.2,84.6,0.2,0.2,5.2,50.5,49.5,,,,,,,,,,,SCIENCE AND TECH/ENG,85.0,62.0,29.0,21.0,56.0,41.0,48.0,35.0,5.0,4.0,138.0,85.3,,,,,,,     694,1.0,,,,,,,2120013.0,44.0,6.9,22.0,3.5,87.0,13.7,166.0,26.1,86.0,13.5,North Attleborough,Joseph W Martin Jr Elementary
North Attleborough - North Attleborough Early Learning Center,2120020.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0, 02120020,2.4,11.9,5.6,75.4,0.8,0.8,3.2,62.7,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     171,0.0,,,,,,,2120020.0,22.0,17.5,0.0,0.0,53.0,42.1,60.0,47.6,21.0,16.7,North Attleborough,North Attleborough Early Learning Center
