,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Manchester Essex Regional - Manchester Essex Regional High School,6980510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,114.0,100.0,98.0,0.0,443.0, 06980510,0.0,1.1,1.1,97.5,0.0,0.0,0.2,42.9,57.1,112.0,100.0,89.3,0.0,55.0,9.0,36.0,9.0,7.0,7.0,SCIENCE AND TECH/ENG,95.0,98.0,53.0,55.0,42.0,43.0,2.0,2.0,0.0,0.0,97.0,99.5,,,119.0,601.0,,589.0,     429,0.0,,,,,,,6980510.0,11.0,2.5,5.0,1.1,40.0,9.0,78.0,17.6,36.0,8.1,Manchester Essex Regional,Manchester Essex Regional High School
Manchester Essex Regional - Manchester Essex Regional Middle School,6980030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,125.0,130.0,0.0,0.0,0.0,0.0,0.0,372.0, 06980030,0.0,1.6,1.3,95.7,0.0,0.0,1.3,53.5,46.5,,,,,,,,,,,SCIENCE AND TECH/ENG,67.0,52.0,5.0,4.0,62.0,48.0,49.0,38.0,12.0,9.0,128.0,80.1,,,,,,,     388,0.0,,,,,,,6980030.0,5.0,1.3,2.0,0.5,45.0,12.1,76.0,20.4,31.0,8.3,Manchester Essex Regional,Manchester Essex Regional Middle School
Manchester Essex Regional - Essex Elementary,6980020.0,0.0,35.0,31.0,32.0,37.0,48.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0, 06980020,0.9,0.0,0.9,96.1,0.0,0.0,2.2,49.6,50.4,,,,,,,,,,,SCIENCE AND TECH/ENG,34.0,81.0,18.0,43.0,16.0,38.0,7.0,17.0,1.0,2.0,42.0,91.7,,,,,,,     231,0.0,,,,,,,6980020.0,7.0,3.1,3.0,1.3,13.0,5.7,34.0,14.9,21.0,9.2,Manchester Essex Regional,Essex Elementary
Manchester Essex Regional - Manchester Memorial Elementary,6980010.0,11.0,41.0,50.0,41.0,55.0,67.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0, 06980010,1.2,0.3,0.9,97.4,0.0,0.0,0.3,52.8,47.2,,,,,,,,,,,SCIENCE AND TECH/ENG,61.0,84.0,39.0,53.0,22.0,30.0,11.0,15.0,1.0,1.0,73.0,94.2,,,,,,,     377,0.0,,,,,,,6980010.0,5.0,1.5,0.0,0.0,28.0,8.2,52.0,15.2,24.0,7.0,Manchester Essex Regional,Manchester Memorial Elementary
