,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Saugus - Saugus High,2620505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,158.0,187.0,139.0,7.0,656.0, 02620505,4.3,4.9,15.1,74.2,0.6,0.0,0.9,50.3,49.7,162.0,137.0,84.6,0.0,29.9,24.8,45.3,24.1,23.4,10.9,SCIENCE AND TECH/ENG,107.0,69.0,33.0,21.0,74.0,47.0,46.0,29.0,3.0,2.0,156.0,88.0,,,224.0,526.0,,507.0,     714,81.0,8.5,4.9,0.0,0.1,0.0,,2620505.0,104.0,15.9,28.0,4.3,87.0,13.3,249.0,38.0,166.0,25.3,Saugus,Saugus High
Saugus - Belmonte Saugus Middle,2620305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,205.0,229.0,0.0,0.0,0.0,0.0,0.0,650.0, 02620305,4.8,3.5,16.6,72.9,0.5,0.3,1.4,51.2,48.8,,,,,,,,,,,SCIENCE AND TECH/ENG,76.0,36.0,3.0,1.0,73.0,34.0,99.0,46.0,38.0,18.0,213.0,69.7,,,,,,,     680,67.0,7.5,7.1,0.0,0.0,0.0,,2620305.0,100.0,15.4,27.0,4.2,107.0,16.5,282.0,43.4,187.0,28.8,Saugus,Belmonte Saugus Middle
Saugus - Oaklandvale,2620050.0,0.0,36.0,45.0,39.0,39.0,45.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0, 02620050,3.8,6.7,18.3,63.3,1.3,0.0,6.7,52.5,47.5,,,,,,,,,,,SCIENCE AND TECH/ENG,18.0,49.0,6.0,16.0,12.0,32.0,13.0,35.0,6.0,16.0,37.0,75.7,,,,,,,     233,1.0,,,,,,,2620050.0,54.0,22.5,40.0,16.7,31.0,12.9,141.0,58.8,108.0,45.0,Saugus,Oaklandvale
Saugus - Lynnhurst,2620040.0,0.0,60.0,37.0,44.0,39.0,41.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0, 02620040,2.2,10.0,16.7,70.0,0.0,0.4,0.7,49.6,50.4,,,,,,,,,,,SCIENCE AND TECH/ENG,17.0,45.0,6.0,16.0,11.0,29.0,17.0,45.0,4.0,11.0,38.0,75.0,,,,,,,     250,0.0,,,,,,,2620040.0,48.0,17.8,19.0,7.0,45.0,16.7,121.0,44.8,71.0,26.3,Saugus,Lynnhurst
Saugus - Douglas Waybright,2620067.0,44.0,24.0,24.0,35.0,28.0,36.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0, 02620067,3.5,6.1,9.1,77.5,0.4,0.0,3.5,52.4,47.6,,,,,,,,,,,SCIENCE AND TECH/ENG,23.0,64.0,9.0,25.0,14.0,39.0,12.0,33.0,1.0,3.0,36.0,86.8,,,,,,,     209,0.0,,,,,,,2620067.0,38.0,16.5,10.0,4.3,28.0,12.1,87.0,37.7,56.0,24.2,Saugus,Douglas Waybright
Saugus - Veterans Memorial,2620065.0,56.0,68.0,91.0,81.0,71.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0, 02620065,5.0,3.3,19.4,68.4,0.6,0.0,3.3,51.9,48.1,,,,,,,,,,,SCIENCE AND TECH/ENG,31.0,32.0,10.0,10.0,21.0,21.0,47.0,48.0,20.0,20.0,98.0,71.2,,,,,,,     540,6.0,0.2,0.9,0.0,0.0,0.0,,2620065.0,69.0,12.8,27.0,5.0,115.0,21.3,241.0,44.5,152.0,28.1,Saugus,Veterans Memorial
