District Name,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,TestsTakers,TestsTaken,OneTest,TwoTests,ThreeTests,FourTests,FiveorMoreTests,Unnamed:9,Score=1,Score=2,Score=3,Score=4,Score=5,PercentScore12,PercentScore35,TotalNumofClasses,AverageClassSize,NumberofStudents,FemalePercent,MalePercent,EnglishLanguageLearnerPercent,StudentswithDisabilitiesPercent,EconomicallyDisadvantagedPercent,NumEnrolledGrades09through12,NumDropoutAllGrades,PercentDropoutAllGrades,PercentDropoutGrade09,PercentDropoutGrade10,PercentDropoutGrade11,PercentDropoutGrade12,NuminCohort,PercentGraduated,PercentStillinSchool,PercentNonGradCompleters,PercentHSEquiv,PercentDroppedOut,PercentPermanentlyExcluded,HighSchoolGraduatesNum,AttendingCollUnivNum,AttendingCollUnivPercent,PrivateTwoYearPercent,PrivateFourYearPercent,PublicTwoYearPercent,PublicFourYearPercent,MACommunityCollegePercent,MAStateUniversityPercent,UnivofMassPercent,Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,WFNum,WFPercent,StudentIncluded,CPI,SGP,IncludedInSGP,InDistrictExpenditures,TotalIndistrictFTEs,InDistrictExpendituresperPupil,TotalExpenditures,TotalPupilFTEs,TotalExpendituresperPupil,Unnamed:8,ReadingWriting,Writing,Math,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,TotalNumofTeachers,PercentofTeachersLicensedinTeachingAssignment,TotalNumofClassesinCoreAcademicAreas,PercentofCoreAcademicClassesTaughtbyTeachersWhoareHighlyQualified,StudentTeacherRatio,SalaryTotals,AverageSalary,FTECount
Baystate Academy Charter Public School (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,80.0,75.0,73.0,57.0,0.0,0.0,445.0,25.8,0.9,66.7,5.2,0.0,0.2,1.1,50.8,49.2,,,,,,,,,,,,,,,,     304,14.8,        398,48.2,51.8,14.1,19.3,67.3,     148,       2,1.4,0.0,2.9,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,39.0,30.0,15.0,11.0,24.0,18.0,66.0,50.0,27.0,20.0,132.0,65.5,,,,,,,,,,,,,35020000.0,92.0,20.7,63.0,85.0,19.1,340.0,76.4,314.0,36.0,70.0,211.0,100.0,10.8 to 1,,,
Benjamin Banneker Charter Public (District),22.0,49.0,48.0,46.0,47.0,47.0,57.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,84.7,0.8,11.0,2.0,0.0,0.0,1.4,49.4,50.6,,,,,,,,,,,,,,,,      69,21.4,        348,48.6,51.4,5.2,16.4,46.8,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,28.0,68.0,13.0,32.0,15.0,37.0,11.0,27.0,2.0,5.0,41.0,86.6,,,,,,,,,,,,,4200000.0,65.0,18.4,18.0,51.0,14.4,220.0,62.1,188.0,20.0,95.0,109.0,100.0,17.3 to 1,,,
Benjamin Franklin Classical Charter Public (District),0.0,50.0,50.0,50.0,50.0,51.0,52.0,50.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,443.0,2.3,22.6,3.6,67.5,0.0,0.0,4.1,48.5,51.5,,,,,,,,,,,,,,,,     172,23.2,        442,48.4,51.6,2.9,12.7,5.4,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,68.0,69.0,17.0,17.0,51.0,52.0,24.0,24.0,6.0,6.0,98.0,86.7,,,,,,,,,,,,,4470000.0,87.0,19.6,24.0,55.0,12.4,109.0,24.6,30.0,28.0,79.8,159.0,59.7,15.8 to 1,,,
Bentley Academy Charter School (District),0.0,59.0,60.0,50.0,53.0,38.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,14.5,3.7,48.6,31.1,0.0,0.0,2.0,50.7,49.3,,,,,,,,,,,,,,,,     131,14.5,        250,50.0,50.0,16.0,17.6,62.8,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,3.0,8.0,0.0,0.0,3.0,8.0,18.0,47.0,17.0,45.0,38.0,48.0,,,,,,,,,,,,,35110000.0,112.0,37.8,56.0,51.0,17.2,225.0,76.0,198.0,32.0,100.0,117.0,100.0,8.0 to 1,,,
Berkshire Arts and Technology Charter Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,14.0,73.7,0.0,7.1,64.3,28.6,64.3,14.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Arts and Technology Charter Public (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,73.0,70.0,48.0,34.0,38.0,31.0,0.0,354.0,12.4,3.4,8.8,70.6,0.3,0.3,4.2,50.0,50.0,      35,      41,      29,       6,       0,       0,       0,,       7,      12,      16,       5,       1,46.3,53.7,     186,14.4,        351,51.9,47.9,1.4,24.2,39.9,     147,       1,0.7,0.0,1.9,0.0,0.0,        16,87.5,6.3,0.0,0.0,6.3,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,51.0,49.0,19.0,18.0,32.0,30.0,40.0,38.0,14.0,13.0,105.0,75.0,,,,,,,,,,573.0,,561.0,4140000.0,7.0,2.0,4.0,77.0,21.8,192.0,54.2,150.0,33.0,52.7,155.0,92.3,10.8 to 1,,,
Blackstone Valley Regional Vocational Technical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,311.0,305.0,296.0,0.0,1223.0,0.4,1.4,3.4,93.0,0.0,0.0,1.8,50.1,49.9,     262,     409,     150,      84,      22,       5,       1,,      97,     132,     118,      46,      16,56.0,44.0,     787,17.3,"      1,209",51.9,48.1,0.2,8.9,9.6,"   1,206",       1,0.1,0.3,0.0,0.0,0.0,       288,99.3,0.7,0.0,0.0,0.0,0.0,280.0,222.0,79.3,0.0,37.8,16.7,45.5,15.3,25.2,12.2,SCIENCE AND TECH/ENG,288.0,99.0,160.0,55.0,128.0,44.0,3.0,1.0,0.0,0.0,291.0,99.7,,,"      $22,611,266.00","      1,190.7","         $18,989.89","      $22,611,266.00","      1,190.7","         $18,989.89",,549.0,,542.0,8050000.0,9.0,0.7,3.0,116.0,9.5,227.0,18.6,125.0,94.0,96.8,337.0,100.0,12.8 to 1,"      $7,563,689","  $80,294",     94
Blue Hills Regional Vocational Technical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,201.0,214.0,215.0,0.0,854.0,22.0,0.9,12.4,59.4,0.7,0.1,4.4,55.4,44.6,      26,      35,      17,       9,       0,       0,       0,,       2,      12,      17,       3,       1,40.0,60.0,     434,14.7,        856,44.6,55.4,0.2,25.4,21.7,     867,       1,0.1,0.0,0.0,0.4,0.0,       219,96.3,1.8,0.0,0.5,1.4,0.0,184.0,117.0,63.6,0.0,40.2,36.8,23.1,36.8,12.8,5.1,SCIENCE AND TECH/ENG,159.0,76.0,67.0,32.0,92.0,44.0,45.0,22.0,4.0,2.0,208.0,91.2,,,"      $19,388,905.00",        864.7,"         $22,422.70","      $19,388,905.00",        864.7,"         $22,422.70",,513.0,,501.0,8060000.0,72.0,8.4,4.0,227.0,26.6,385.0,45.1,191.0,81.0,97.5,213.0,100.0,10.8 to 1,"      $6,405,107","  $76,708",     84
Boston Collegiate Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,46.0,82.1,0.0,28.3,17.4,54.3,17.4,30.4,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Collegiate Charter (District),0.0,0.0,0.0,0.0,0.0,0.0,96.0,99.0,98.0,94.0,87.0,75.0,75.0,76.0,0.0,700.0,29.4,2.0,18.3,47.4,0.6,0.0,2.3,48.7,51.3,     103,     203,      37,      35,      28,       3,       0,,      28,      52,      69,      42,      12,39.4,60.6,     272,20.7,        684,52.0,48.0,3.2,17.7,26.9,     302,       1,0.3,0.0,0.0,0.0,1.4,        65,95.4,4.6,0.0,0.0,0.0,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,150.0,59.0,47.0,19.0,103.0,41.0,86.0,34.0,17.0,7.0,253.0,83.1,,,,,,,,,,561.0,,571.0,4490000.0,86.0,12.3,25.0,115.0,16.4,317.0,45.3,218.0,66.0,72.6,213.0,85.9,10.3 to 1,,,
Boston Day and Evening Academy Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,32.0,53.3,0.0,25.0,53.1,21.9,53.1,3.1,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Day and Evening Academy Charter (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,47.0,2.0,248.0,0.0,404.0,45.0,1.2,43.6,5.4,0.5,0.0,4.2,46.5,53.5,,,,,,,,,,,,,,,,     287,18.8,        498,56.0,44.0,9.6,25.3,51.2,     404,      85,21.0,23.0,28.1,,19.4,       134,11.2,63.4,0.0,0.7,24.6,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,2.0,14.0,0.0,0.0,2.0,14.0,8.0,57.0,4.0,29.0,14.0,53.6,,,,,,,,,,467.0,,459.0,4240000.0,65.0,16.1,32.0,103.0,25.5,278.0,68.8,226.0,23.0,96.7,262.0,98.5,17.6 to 1,,,
Boston Green Academy Horace Mann Charter School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,47.0,74.6,0.0,44.7,31.9,23.4,31.9,12.8,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Green Academy Horace Mann Charter School (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,60.0,62.0,88.0,84.0,58.0,74.0,0.0,471.0,50.3,2.3,37.6,7.2,0.4,0.0,2.1,52.9,47.1,      43,      64,      26,      13,       4,       0,       0,,      40,      17,       4,       3,       0,89.1,10.9,     332,14.4,        462,49.6,50.4,7.1,29.4,60.4,     291,      11,3.8,6.3,0.0,2.9,5.1,        67,74.6,22.4,0.0,1.5,1.5,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,24.0,22.0,0.0,0.0,24.0,22.0,54.0,50.0,29.0,27.0,107.0,58.6,,,,,,,,,,445.0,,459.0,4110000.0,163.0,34.6,65.0,152.0,32.3,378.0,80.3,314.0,52.0,80.5,260.0,100.0,9.2 to 1,,,
Boston Preparatory Charter Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,40.0,95.2,0.0,40.0,15.0,45.0,15.0,27.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Preparatory Charter Public (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,52.0,61.0,89.0,61.0,61.0,52.0,0.0,463.0,67.0,0.9,28.1,1.9,0.0,0.2,1.9,51.8,48.2,      23,      39,       7,      16,       0,       0,       0,,      12,      13,      11,       2,       1,64.1,35.9,      87,33.4,        418,48.6,51.4,10.0,23.9,38.0,     237,       0,0.0,0.0,0.0,0.0,0.0,        43,86.0,14.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,73.0,56.0,18.0,14.0,55.0,42.0,48.0,37.0,10.0,8.0,131.0,80.3,,,,,,,,,,500.0,,533.0,4160000.0,120.0,25.9,84.0,106.0,22.9,294.0,63.5,195.0,37.0,67.7,53.0,58.5,11.2 to 1,,,
Boston Renaissance Charter Public (District),118.0,131.0,141.0,141.0,117.0,115.0,97.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.0,62.3,0.3,32.2,1.5,0.1,0.0,3.6,47.9,52.1,,,,,,,,,,,,,,,,     242,18.6,        941,50.9,49.1,6.9,14.3,46.2,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,36.0,36.0,7.0,7.0,29.0,29.0,48.0,48.0,16.0,16.0,100.0,69.0,,,,,,,,,,,,,4810000.0,197.0,21.0,85.0,121.0,12.9,573.0,61.1,468.0,76.0,76.8,344.0,75.0,12.6 to 1,,,
Bridge Boston Charter School (District),36.0,39.0,40.0,40.0,40.0,40.0,38.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,64.9,1.3,29.9,0.6,0.0,0.3,2.9,48.7,51.3,,,,,,,,,,,,,,,,      63,18.2,        270,53.0,47.0,25.6,22.2,56.3,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,7.0,21.0,2.0,6.0,5.0,15.0,15.0,44.0,12.0,35.0,34.0,57.4,,,,,,,,,,,,,4170000.0,125.0,40.6,73.0,69.0,22.4,233.0,75.6,181.0,26.0,73.9,100.0,73.0,10.2 to 1,,,
