,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Worcester - Grafton Street,3480115.0,0.0,62.0,64.0,61.0,62.0,56.0,46.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0, 03480115,15.5,7.2,47.3,25.3,0.3,0.0,4.4,51.4,48.6,,,,,,,,,,,SCIENCE AND TECH/ENG,2.0,4.0,1.0,2.0,1.0,2.0,21.0,45.0,24.0,51.0,47.0,39.9,,,,,,,     475,20.0,0.0,1.9,0.0,0.0,3.6,,3480115.0,222.0,57.4,181.0,46.8,45.0,11.6,354.0,91.5,289.0,74.7,Worcester,Grafton Street
Worcester - Lincoln Street,3480160.0,0.0,69.0,26.0,42.0,32.0,30.0,34.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0, 03480160,20.7,3.7,57.0,14.4,0.7,0.0,3.3,51.1,48.9,,,,,,,,,,,SCIENCE AND TECH/ENG,4.0,11.0,1.0,3.0,3.0,8.0,16.0,44.0,16.0,44.0,36.0,50.0,,,,,,,     318,59.0,2.2,7.5,0.0,0.0,15.1,,3480160.0,180.0,66.7,149.0,55.2,53.0,19.6,257.0,95.2,228.0,84.4,Worcester,Lincoln Street
Worcester - Chandler Elementary Community,3480050.0,0.0,75.0,69.0,79.0,80.0,64.0,76.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0, 03480050,14.0,7.6,61.8,14.2,0.0,0.0,2.4,54.4,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     586,24.0,0.2,0.3,0.0,0.0,3.9,,3480050.0,366.0,73.2,290.0,58.0,60.0,12.0,479.0,95.8,412.0,82.4,Worcester,Chandler Elementary Community
Worcester - Elm Park Community,3480095.0,0.0,78.0,60.0,75.0,66.0,67.0,70.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0, 03480095,15.3,2.1,58.9,20.8,0.0,0.0,2.9,56.2,43.8,,,,,,,,,,,SCIENCE AND TECH/ENG,2.0,5.0,0.0,0.0,2.0,5.0,23.0,52.0,19.0,43.0,44.0,46.0,,,,,,,     633,50.0,0.5,3.8,0.0,0.0,5.8,,3480095.0,343.0,71.9,268.0,56.2,74.0,15.5,446.0,93.5,372.0,78.0,Worcester,Elm Park Community
Worcester - Rice Square,3480215.0,0.0,78.0,62.0,60.0,55.0,63.0,67.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0, 03480215,16.9,7.0,43.3,27.2,0.0,0.0,5.6,55.3,44.7,,,,,,,,,,,SCIENCE AND TECH/ENG,17.0,29.0,2.0,3.0,15.0,26.0,28.0,48.0,13.0,22.0,58.0,65.1,,,,,,,     498,15.0,0.0,0.2,0.0,0.0,3.0,,3480215.0,241.0,56.4,175.0,41.0,65.0,15.2,369.0,86.4,267.0,62.5,Worcester,Rice Square
Worcester - Woodland Academy,3480030.0,0.0,79.0,96.0,72.0,82.0,98.0,81.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0, 03480030,8.1,8.4,72.1,9.1,0.3,0.0,2.0,50.2,49.8,,,,,,,,,,,SCIENCE AND TECH/ENG,19.0,22.0,3.0,3.0,16.0,18.0,43.0,49.0,26.0,30.0,88.0,57.7,,,,,,,     715,76.0,0.6,8.4,0.0,0.0,2.9,,3480030.0,486.0,80.2,362.0,59.7,73.0,12.0,583.0,96.2,472.0,77.9,Worcester,Woodland Academy
Worcester - Chandler Magnet,3480052.0,11.0,77.0,63.0,57.0,63.0,74.0,45.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0, 03480052,3.2,4.1,77.4,13.6,0.0,0.0,1.6,47.2,52.8,,,,,,,,,,,SCIENCE AND TECH/ENG,3.0,9.0,1.0,3.0,2.0,6.0,15.0,47.0,14.0,44.0,32.0,44.5,,,,,,,     561,76.0,0.0,9.8,0.0,0.0,8.0,,3480052.0,366.0,84.3,309.0,71.2,63.0,14.5,396.0,91.2,285.0,65.7,Worcester,Chandler Magnet
Worcester - Worcester Arts Magnet School,3480225.0,23.0,56.0,58.0,58.0,61.0,60.0,51.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0, 03480225,17.1,6.4,19.6,50.0,0.0,0.0,6.9,49.8,50.2,,,,,,,,,,,SCIENCE AND TECH/ENG,33.0,79.0,16.0,38.0,17.0,40.0,9.0,21.0,0.0,0.0,42.0,91.7,,,,,,,     425,3.0,,,,,,,3480225.0,125.0,30.9,68.0,16.8,42.0,10.4,196.0,48.5,116.0,28.7,Worcester,Worcester Arts Magnet School
Worcester - Canterbury,3480045.0,26.0,49.0,60.0,46.0,42.0,49.0,55.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0, 03480045,12.2,15.2,52.9,16.8,0.5,0.0,2.4,54.3,45.7,,,,,,,,,,,SCIENCE AND TECH/ENG,8.0,17.0,0.0,0.0,8.0,17.0,17.0,35.0,23.0,48.0,48.0,63.0,,,,,,,     426,24.0,2.6,3.1,0.0,0.0,0.7,,3480045.0,261.0,69.4,186.0,49.5,69.0,18.4,356.0,94.7,294.0,78.2,Worcester,Canterbury
Worcester - Goddard School/Science Technical,3480100.0,27.0,57.0,62.0,66.0,52.0,64.0,67.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0, 03480100,9.0,11.0,61.9,14.0,0.9,0.0,3.2,51.8,48.2,,,,,,,,,,,SCIENCE AND TECH/ENG,11.0,17.0,4.0,6.0,7.0,11.0,26.0,40.0,28.0,43.0,65.0,51.2,,,,,,,     562,70.0,4.4,9.1,0.0,0.0,7.5,,3480100.0,344.0,74.0,260.0,55.9,72.0,15.5,438.0,94.2,346.0,74.4,Worcester,Goddard School/Science Technical
