,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Wilmington - Boutwell,3420005.0,42.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0, 03420005,0.6,8.1,3.8,84.4,0.0,0.0,3.1,47.5,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     176,0.0,,,,,,,3420005.0,5.0,3.1,1.0,0.6,27.0,16.9,40.0,25.0,13.0,8.1,Wilmington,Boutwell
Wilmington - North Intermediate,3420060.0,0.0,0.0,0.0,0.0,0.0,166.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0, 03420060,1.0,3.0,1.7,90.8,0.0,0.0,3.6,51.8,48.2,,,,,,,,,,,SCIENCE AND TECH/ENG,62.0,46.0,19.0,14.0,43.0,32.0,64.0,47.0,9.0,7.0,135.0,78.7,,,,,,,     273,2.0,,,,,,,3420060.0,9.0,3.0,3.0,1.0,55.0,18.2,86.0,28.4,32.0,10.6,Wilmington,North Intermediate
Wilmington - Shawsheen Elementary,3420025.0,0.0,0.0,111.0,123.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0, 03420025,1.7,5.8,6.1,82.9,0.0,0.0,3.5,51.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     366,2.0,,,,,,,3420025.0,10.0,2.9,5.0,1.4,70.0,20.3,97.0,28.1,34.0,9.9,Wilmington,Shawsheen Elementary
Wilmington - West Intermediate,3420080.0,0.0,0.0,0.0,0.0,0.0,123.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0, 03420080,0.8,6.1,9.3,81.4,0.0,0.0,2.4,50.2,49.8,,,,,,,,,,,SCIENCE AND TECH/ENG,52.0,39.0,13.0,10.0,39.0,29.0,54.0,40.0,28.0,21.0,134.0,71.6,,,,,,,     257,0.0,,,,,,,3420080.0,12.0,4.9,3.0,1.2,50.0,20.2,72.0,29.1,29.0,11.7,Wilmington,West Intermediate
Wilmington - Wildwood,3420015.0,43.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0, 03420015,3.1,4.1,2.6,86.6,0.0,0.5,3.1,53.6,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     188,0.0,,,,,,,3420015.0,4.0,2.1,2.0,1.0,39.0,20.1,53.0,27.3,19.0,9.8,Wilmington,Wildwood
Wilmington - Wilmington High,3420505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,213.0,214.0,236.0,1.0,862.0, 03420505,2.3,5.9,3.2,86.0,0.1,0.1,2.3,49.0,51.0,244.0,212.0,86.9,0.9,41.0,17.0,41.0,17.0,8.5,17.5,SCIENCE AND TECH/ENG,159.0,78.0,53.0,26.0,106.0,52.0,42.0,20.0,4.0,2.0,205.0,91.7,,,323.0,562.0,,557.0,     907,44.0,3.1,2.6,0.0,0.0,0.0,,3420505.0,15.0,1.7,4.0,0.5,116.0,13.5,174.0,20.2,77.0,8.9,Wilmington,Wilmington High
Wilmington - Wilmington Middle School,3420330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,256.0,311.0,0.0,0.0,0.0,0.0,0.0,836.0, 03420330,1.7,3.1,4.2,87.4,0.2,0.0,3.3,52.5,47.5,,,,,,,,,,,SCIENCE AND TECH/ENG,134.0,46.0,8.0,3.0,126.0,43.0,128.0,44.0,30.0,10.0,292.0,76.7,,,,,,,     882,23.0,1.6,1.2,0.0,0.0,0.0,,3420330.0,13.0,1.6,3.0,0.4,178.0,21.3,233.0,27.9,81.0,9.7,Wilmington,Wilmington Middle School
Wilmington - Woburn Street,3420020.0,0.0,0.0,132.0,147.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0, 03420020,2.1,5.0,3.7,85.4,0.3,0.0,3.7,51.4,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     418,0.0,,,,,,,3420020.0,10.0,2.6,7.0,1.8,56.0,14.6,93.0,24.3,48.0,12.5,Wilmington,Woburn Street
