,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Gateway - Gateway Regional High,6720505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,58.0,47.0,39.0,3.0,215.0, 06720505,0.5,0.9,4.2,92.6,0.0,0.0,1.9,47.4,52.6,78.0,60.0,76.9,0.0,16.7,31.7,51.7,31.7,26.7,15.0,SCIENCE AND TECH/ENG,37.0,74.0,14.0,28.0,23.0,46.0,12.0,24.0,1.0,2.0,50.0,90.0,,,35.0,563.0,,555.0,     227,26.0,10.1,4.4,0.0,0.0,0.0,,6720505.0,5.0,2.3,2.0,0.9,38.0,17.7,84.0,39.1,63.0,29.3,Gateway,Gateway Regional High
Gateway - Gateway Regional Middle School,6720405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,64.0,0.0,0.0,0.0,0.0,0.0,198.0, 06720405,1.0,0.0,4.5,92.9,0.5,0.0,1.0,52.0,48.0,,,,,,,,,,,SCIENCE AND TECH/ENG,24.0,31.0,0.0,0.0,24.0,31.0,43.0,55.0,11.0,14.0,78.0,68.9,,,,,,,     214,13.0,5.6,0.9,0.0,0.0,0.0,,6720405.0,8.0,4.0,5.0,2.5,36.0,18.2,79.0,39.9,58.0,29.3,Gateway,Gateway Regional Middle School
Gateway - Chester Elementary,6720059.0,13.0,23.0,12.0,20.0,18.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0, 06720059,0.8,0.0,3.4,91.6,1.7,0.0,2.5,61.3,38.7,,,,,,,,,,,SCIENCE AND TECH/ENG,11.0,65.0,0.0,0.0,11.0,65.0,4.0,24.0,2.0,12.0,17.0,82.4,,,,,,,     122,0.0,,,,,,,6720059.0,0.0,0.0,0.0,0.0,32.0,26.9,62.0,52.1,47.0,39.5,Gateway,Chester Elementary
Gateway - Littleville Elementary School,6720143.0,19.0,48.0,43.0,39.0,55.0,45.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0, 06720143,1.0,0.0,3.3,92.3,0.0,0.3,3.0,51.2,48.8,,,,,,,,,,,SCIENCE AND TECH/ENG,26.0,55.0,7.0,15.0,19.0,40.0,17.0,36.0,4.0,9.0,47.0,81.4,,,,,,,     313,2.0,,,,,,,6720143.0,17.0,5.7,16.0,5.4,65.0,21.7,138.0,46.2,93.0,31.1,Gateway,Littleville Elementary School
