,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Springfield - The Springfield Renaissance School an Expeditionary Learning School,2810205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,109.0,103.0,103.0,102.0,84.0,85.0,8.0,694.0, 02810205,24.6,1.7,49.3,22.6,0.0,0.1,1.6,52.2,47.8,90.0,76.0,84.4,0.0,22.4,48.7,28.9,44.7,22.4,3.9,SCIENCE AND TECH/ENG,74.0,41.0,23.0,13.0,51.0,28.0,62.0,34.0,46.0,25.0,182.0,67.7,,,136.0,482.0,,469.0,     727,48.0,2.3,4.8,0.0,0.0,0.0,,2810205.0,104.0,15.0,28.0,4.0,111.0,16.0,404.0,58.2,361.0,52.0,Springfield,The Springfield Renaissance School an Expeditionary Learning School
Springfield - Chestnut Academy,2810365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,89.0,229.0,0.0,0.0,0.0,0.0,0.0,419.0, 02810365,10.7,0.2,84.2,3.3,0.2,0.0,1.2,49.9,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2810365.0,189.0,45.1,116.0,27.7,113.0,27.0,391.0,93.3,373.0,89.0,Springfield,Chestnut Academy
Springfield - Impact Prep at Chestnut,2810366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0, 02810366,15.3,0.0,80.8,3.5,0.0,0.0,0.4,48.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2810366.0,91.0,39.7,56.0,24.5,52.0,22.7,215.0,93.9,208.0,90.8,Springfield,Impact Prep at Chestnut
Springfield - Chestnut Accelerated Middle School (Talented and Gifted),2810367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,104.0,92.0,0.0,0.0,0.0,0.0,0.0,316.0, 02810367,23.1,2.2,59.2,13.6,0.0,0.3,1.6,46.2,53.8,,,,,,,,,,,SCIENCE AND TECH/ENG,14.0,22.0,1.0,2.0,13.0,20.0,26.0,41.0,24.0,38.0,64.0,69.5,,,,,,,     307,32.0,1.6,9.8,0.0,0.0,0.0,,2810367.0,80.0,25.3,23.0,7.3,62.0,19.6,239.0,75.6,231.0,73.1,Springfield,Chestnut Accelerated Middle School (Talented and Gifted)
Springfield - John F Kennedy Middle,2810328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,157.0,137.0,0.0,0.0,0.0,0.0,0.0,450.0, 02810328,21.1,1.1,65.6,10.2,0.2,0.0,1.8,56.4,43.6,,,,,,,,,,,SCIENCE AND TECH/ENG,12.0,11.0,0.0,0.0,12.0,11.0,42.0,39.0,55.0,50.0,109.0,42.4,,,,,,,     508,150.0,6.7,28.1,0.0,0.0,0.0,,2810328.0,109.0,24.2,59.0,13.1,99.0,22.0,400.0,88.9,379.0,84.2,Springfield,John F Kennedy Middle
Springfield - John J Duggan Middle,2810320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,188.0,171.0,82.0,53.0,34.0,40.0,0.0,766.0, 02810320,28.3,2.0,55.0,13.2,0.3,0.0,1.3,56.3,43.7,,,,,,,,,,,SCIENCE AND TECH/ENG,27.0,15.0,0.0,0.0,27.0,15.0,74.0,41.0,80.0,44.0,181.0,52.8,,,31.0,433.0,,436.0,     739,169.0,1.6,22.6,0.0,0.0,0.0,,2810320.0,177.0,23.1,85.0,11.1,194.0,25.3,618.0,80.7,564.0,73.6,Springfield,John J Duggan Middle
Springfield - M Marcus Kiley Middle,2810330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,215.0,230.0,0.0,0.0,0.0,0.0,0.0,659.0, 02810330,22.2,2.4,63.4,11.1,0.2,0.2,0.6,55.7,44.3,,,,,,,,,,,SCIENCE AND TECH/ENG,9.0,5.0,0.0,0.0,9.0,5.0,69.0,39.0,100.0,56.0,178.0,39.9,,,,,,,     750,205.0,4.5,25.3,0.0,0.0,0.0,,2810330.0,169.0,25.6,85.0,12.9,143.0,21.7,557.0,84.5,531.0,80.6,Springfield,M Marcus Kiley Middle
Springfield - Forest Park Middle,2810325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,217.0,251.0,0.0,0.0,0.0,0.0,0.0,712.0, 02810325,18.1,9.1,67.6,4.1,0.1,0.1,0.8,50.8,49.2,,,,,,,,,,,SCIENCE AND TECH/ENG,19.0,9.0,1.0,0.0,18.0,8.0,76.0,36.0,119.0,56.0,214.0,44.7,,,,,,,     799,161.0,1.4,19.6,0.0,0.0,0.0,,2810325.0,292.0,41.0,166.0,23.3,156.0,21.9,640.0,89.9,587.0,82.4,Springfield,Forest Park Middle
Springfield - Springfield Public Day Elementary School,2810005.0,0.0,1.0,10.0,8.0,14.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0, 02810005,20.5,0.0,63.0,16.4,0.0,0.0,0.0,84.9,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      99,3.0,,,,,,,2810005.0,12.0,16.4,10.0,13.7,67.0,91.8,73.0,100.0,65.0,89.0,Springfield,Springfield Public Day Elementary School
Springfield - William N. DeBerry,2810045.0,0.0,33.0,47.0,42.0,47.0,50.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0, 02810045,20.3,0.0,73.9,5.4,0.0,0.0,0.4,53.6,46.4,,,,,,,,,,,SCIENCE AND TECH/ENG,17.0,39.0,2.0,5.0,15.0,34.0,19.0,43.0,8.0,18.0,44.0,69.9,,,,,,,     358,12.0,1.4,2.5,0.0,0.0,0.0,,2810045.0,83.0,31.8,59.0,22.6,73.0,28.0,250.0,95.8,243.0,93.1,Springfield,William N. DeBerry
