,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Pioneer Valley - Pioneer Valley Regional,7500505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,66.0,52.0,47.0,64.0,57.0,0.0,360.0, 07500505,1.1,0.8,1.4,93.3,0.3,0.0,3.1,50.0,50.0,79.0,55.0,69.6,0.0,27.3,40.0,32.7,36.4,5.5,9.1,SCIENCE AND TECH/ENG,87.0,62.0,26.0,18.0,61.0,43.0,48.0,34.0,6.0,4.0,141.0,86.0,,,60.0,557.0,,540.0,     414,20.0,3.9,3.1,0.0,0.0,0.0,,7500505.0,2.0,0.6,0.0,0.0,48.0,13.3,98.0,27.2,61.0,16.9,Pioneer Valley,Pioneer Valley Regional
Pioneer Valley - Pearl E Rhodes Elementary,7500007.0,3.0,8.0,7.0,2.0,5.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0, 07500007,0.0,0.0,12.1,87.9,0.0,0.0,0.0,42.4,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      42,0.0,,,,,,,7500007.0,0.0,0.0,0.0,0.0,11.0,33.3,21.0,63.6,14.0,42.4,Pioneer Valley,Pearl E Rhodes Elementary
Pioneer Valley - Warwick Community School,7500009.0,4.0,10.0,9.0,6.0,11.0,4.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0, 07500009,0.0,0.0,5.1,86.4,0.0,0.0,8.5,55.9,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      59,0.0,,,,,,,7500009.0,0.0,0.0,0.0,0.0,9.0,15.3,21.0,35.6,16.0,27.1,Pioneer Valley,Warwick Community School
Pioneer Valley - Northfield Elementary,7500008.0,14.0,24.0,20.0,24.0,26.0,22.0,25.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0, 07500008,0.0,0.0,2.2,94.1,0.0,0.0,3.8,50.5,49.5,,,,,,,,,,,SCIENCE AND TECH/ENG,10.0,36.0,3.0,11.0,7.0,25.0,11.0,39.0,7.0,25.0,28.0,68.8,,,,,,,     192,5.0,,,,,,,7500008.0,3.0,1.6,0.0,0.0,44.0,23.7,83.0,44.6,50.0,26.9,Pioneer Valley,Northfield Elementary
Pioneer Valley - Bernardston Elementary,7500006.0,16.0,18.0,18.0,21.0,22.0,14.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0, 07500006,0.6,0.0,0.0,94.9,0.0,0.0,4.5,47.1,52.9,,,,,,,,,,,SCIENCE AND TECH/ENG,14.0,50.0,4.0,14.0,10.0,36.0,13.0,46.0,1.0,4.0,28.0,82.1,,,,,,,     182,0.0,,,,,,,7500006.0,1.0,0.6,1.0,0.6,31.0,19.7,64.0,40.8,42.0,26.8,Pioneer Valley,Bernardston Elementary
