,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Swansea - Joseph Case High,2920505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,131.0,134.0,123.0,5.0,535.0, 02920505,1.5,1.7,1.9,93.3,0.2,0.0,1.5,52.5,47.5,138.0,100.0,72.5,0.0,18.0,41.0,41.0,39.0,11.0,25.0,SCIENCE AND TECH/ENG,106.0,88.0,41.0,34.0,65.0,54.0,14.0,12.0,0.0,0.0,120.0,96.0,,,112.0,560.0,,549.0,     547,53.0,9.1,3.5,0.0,0.0,0.0,,2920505.0,13.0,2.4,3.0,0.6,64.0,12.0,148.0,27.7,104.0,19.4,Swansea,Joseph Case High
Swansea - Joseph Case Jr High,2920305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,160.0,168.0,0.0,0.0,0.0,0.0,0.0,521.0, 02920305,0.6,0.4,2.3,96.2,0.0,0.0,0.6,53.7,46.3,,,,,,,,,,,SCIENCE AND TECH/ENG,79.0,48.0,4.0,2.0,75.0,46.0,69.0,42.0,15.0,9.0,163.0,78.8,,,,,,,     503,31.0,5.6,0.6,0.0,0.0,0.0,,2920305.0,8.0,1.5,2.0,0.4,62.0,11.9,153.0,29.4,112.0,21.5,Swansea,Joseph Case Jr High
Swansea - Joseph G Luther,2920020.0,0.0,0.0,0.0,0.0,77.0,66.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0, 02920020,0.9,0.9,3.5,89.9,0.9,0.0,3.9,48.7,51.3,,,,,,,,,,,SCIENCE AND TECH/ENG,45.0,62.0,21.0,29.0,24.0,33.0,23.0,32.0,5.0,7.0,73.0,86.6,,,,,,,     229,4.0,,,,,,,2920020.0,3.0,1.3,0.0,0.0,34.0,14.9,65.0,28.5,42.0,18.4,Swansea,Joseph G Luther
Swansea - Elizabeth S Brown,2920006.0,0.0,0.0,0.0,0.0,80.0,102.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0, 02920006,0.4,1.1,0.0,97.8,0.4,0.0,0.4,48.9,51.1,,,,,,,,,,,SCIENCE AND TECH/ENG,69.0,64.0,24.0,22.0,45.0,42.0,29.0,27.0,9.0,8.0,107.0,83.4,,,,,,,     303,7.0,0.3,2.0,0.0,0.0,0.0,,2920006.0,0.0,0.0,0.0,0.0,21.0,7.7,68.0,24.8,55.0,20.1,Swansea,Elizabeth S Brown
Swansea - Gardner,2920015.0,0.0,85.0,98.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0, 02920015,0.4,0.4,1.1,96.9,0.0,0.0,1.1,52.5,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     255,1.0,,,,,,,2920015.0,2.0,0.8,2.0,0.8,20.0,7.7,73.0,28.0,55.0,21.1,Swansea,Gardner
Swansea - Mark G Hoyle Elementary,2920017.0,59.0,72.0,71.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0, 02920017,1.2,1.6,2.0,92.5,0.0,0.0,2.7,51.8,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     280,1.0,,,,,,,2920017.0,4.0,1.6,1.0,0.4,45.0,17.6,81.0,31.8,45.0,17.6,Swansea,Mark G Hoyle Elementary
